Early Down,Late Down,Biphasic ,Early Up,Late Up
Oaz2,Anxa5,Phlda3,Map3k1,
Pard6b,Lgmn,Pbx1,Sorbs2,
Bmp4,Tuba1b,2900026A02Rik,Syt8,
Fam63b,Tubb2a,Igf2r,Sdcbp2,
Fam134b,Npw,Nfib,Pir,
Lhfp,Gipc2,Ly6e,Clmn,
Tmem88,Klhdc8a,Akr1b8,Pmaip1,
Trp53bp2,Eno1,Cnn3,Fbxo32,
Arrdc3,Wsb1,Fabp5,Bicc1,
Gatsl3,Vamp8,Marcksl1,Amot,
Rcn3,Atp6v0e,Gpx2,Hid1,
Sec14l3,Gde1,Msln,Fam149a,
Slc1a5,Nceh1,Fam107b,Ltbp4,
Snhg18,Ctnnd2,Ptp4a2,Xist,
Apbb1,Acot9,Foxq1,Rps6ka1,
Wnt7a,Bcap31,Cldn4,Plekhh1,
Psat1,Lims1,Fn1,Plet1,
Wnk1,Msn,Mal,Elf3,
H2-Q2,Emp2,Set,Plekha6,
Tef,Timp3,Mpzl2,Rpl7,
Nrp2,Prkcdbp,Nupr1,Tjp3,
Ifi35,Plb1,Gm20186,Hist1h1e,
Sema5a,Rhoa,Paics,Hnf4a,
P3h1,Gpc3,Ccnd2,Edn1,
Mapre3,Fkbp7,Prr15l,Auts2,
Nkx2-1,Gstt1,Slc12a2,Arap2,
Tmod1,Akr1c14,Cd2ap,Car8,
Batf,Stk17b,Mboat1,Abcc3,
Crlf3,Slc1a1,Me1,Dap,
Prr5l,Pde7a,Rab27b,Gprc5c,
BC022687,Ehd1,Mlph,Mgat4a,
Bmp1,Fam89a,Itga6,Muc1,
Slc39a13,P4ha1,Ppp1r14b,Plpp2,
Irx3,Cfl2,C77080,Rpl10a,
Tbc1d10a,Gsap,Actn4,Rps3,
Dnm1,Mlf2,Stmn1,Rps10,
Stard3,Orai1,Mmp15,Rpl30,
Sft2d1,Fgf18,Ctxn1,Atp1b1,
Fam195b,Serpinh1,Smagp,Ybx1,
Mettl7a1,Ager,Kcnj15,Gnb2l1,
Shh,Ehd2,,Tpd52,
Chst12,Itm2a,,Rpl19,
Limd2,Crip2,,Rpl9,
Mfsd7c,Tead1,,Rpl32,
Osbpl6,1190002N15Rik,,Lgals9,
Traf1,Lpcat1,,Rpl14,
Gm11627,Col4a5,,Arpc1b,
Arhgef1,Tmbim6,,Rps3a1,
Ubl3,Ddr1,,Rpl22,
Swap70,Slc9a3r2,,Rpl12,
Mtfr1l,Lrrk1,,Rps16,
Mfhas1,Gadd45b,,Npm1,
Epb41l3,Calu,,Rps7,
Pxdc1,Arhgdia,,Rplp2,
Fgf1,Vapa,,Mapk13,
Adrb2,Pon2,,Rps2,
Rbpjl,Parp3,,Tpt1,
Prkag3,Fam177a,,Rps26,
Radil,Actb,,Hn1,
Lamb2,Pdpn,,Pak1,
Llgl2,Ramp1,,Eif3f,
Ctdspl,Errfi1,,Rplp0,
Rsrp1,Ppp3ca,,Rpl28,
Anxa4,Sftpc,,Rps11,
Ubc,Lama3,,Rpl18,
Gpx7,Aldh2,,Runx1,
Sult1a1,Cers4,,H2afz,
Tmem37,Sparc,,Hmgcs2,
Prdx6,Lamc2,,Rpl18a,
Hck,Nfkbia,,Rps9,
Cyr61,Rassf8,,Rps4x,
Hopx,Limch1,,Rpl7a,
Cav1,Dag1,,Zfp36l2,
Gprc5a,Cxcl16,,Rps18,
Scnn1g,Lipa,,Rps6,
2210011C24Rik,Igfbp7,,Rpl13,
Tppp3,Agrn,,Rps23,
Cldn18,Cd151,,Rpl35a,
Pmp22,Sptbn1,,Rpl36,
Fbln5,Dlc1,,Eef1b2,
Aqp5,Ptgs1,,Rps15a,
Ier3,Lamp1,,Rps13,
Scd2,Rbms1,,Rps27a,
Esam,Slc39a8,,Cks1b,
Scnn1b,Id3,,Rpl39,
Thbs3,Anxa3,,Rps5,
Mmp11,Coq10b,,Rpl23,
Lrpap1,Cryab,,Rps20,
Wdr45,Hspg2,,Rps25,
Sema3a,Fras1,,Hmgb2,
Ifi27,Tmem63b,,Rpl24,
Il18r1,Sftpb,,Rpsa,
Flrt3,Malat1,,Rpl13a,
Rnase4,Reep5,,Rpl27a,
Gja1,Klf6,,Trp53i11,
Ctsl,Bcam,,Rpl6,
Laptm4a,Gpx4,,Rpl17,
Dapk2,Itga3,,Rps12,
Cav2,Plekhh2,,Rpl36a,
Qk,Tinagl1,,Rpl26,
Ptpre,Fhl1,,Rpl8,
Tspan15,Wwc2,,,
Pgrmc1,Slc34a2,,,
2310007B03Rik,Sftpa1,,,
Ndst1,Anxa6,,,
Pdlim2,Spry1,,,
Nav2,Myo1c,,,
Nrp1,Nckap5,,,
Yif1b,Slc25a4,,,
Irx2,Piezo1,,,
Krt7,Bnip2,,,
Fstl3,,,,
S100a14,,,,
Htra1,,,,
Creb3,,,,
Tmem59,,,,
Ccnd3,,,,
Adam9,,,,
Pdgfb,,,,
Ubb,,,,
Nrbp2,,,,
Smpdl3a,,,,
Ssr2,,,,
Tmem140,,,,
Plscr2,,,,
Amhr2,,,,
Tmem108,,,,
S100a13,,,,
S1pr2,,,,
AU021092,,,,
4930523C07Rik,,,,
Myh14,,,,
Ostf1,,,,
Nt5e,,,,
Ptprm,,,,
Efemp2,,,,
Tubb4b,,,,
Svil,,,,
Smarcd3,,,,
Rnd1,,,,
Trim16,,,,
Tspan8,,,,
Nkd1,,,,
H2-Q4,,,,
Sgce,,,,
Prep,,,,
Slc3a2,,,,
Nipa1,,,,
Chpt1,,,,
Mal2,,,,
Pkp2,,,,
Smco4,,,,
Stx11,,,,
Sptlc2,,,,
Ago4,,,,
Fam53b,,,,
Csf1r,,,,
Prmt2,,,,
Fzd1,,,,
Epb41l5,,,,
Arxes1,,,,
Smpd1,,,,
Itga9,,,,
Krtap17-1,,,,
Cdkl5,,,,
Txndc15,,,,
Copz2,,,,
Nedd9,,,,
Tekt5,,,,
Gamt,,,,
Ginm1,,,,
Rap1b,,,,
Flot1,,,,
B4gat1,,,,
Gpx8,,,,
Zdhhc14,,,,
Slc15a2,,,,
Tonsl,,,,
Ino80e,,,,
Abhd17c,,,,
Dnajc3,,,,
Tex15,,,,
Sptan1,,,,
Selk,,,,
2610001J05Rik,,,,
Ccdc92,,,,
Ift43,,,,
Pdia6,,,,
Hmox2,,,,
Slc31a2,,,,
Tm2d2,,,,
Ppib,,,,
Rsu1,,,,
Prss8,,,,
Emc7,,,,
Tuba8,,,,
Fgfbp1,,,,
Dusp7,,,,
Acaa1a,,,,
Poc1a,,,,
Sar1b,,,,
Pgc,,,,
Slc39a7,,,,
Plxna1,,,,
1110008F13Rik,,,,
Sec13,,,,
Mageh1,,,,
Atxn1,,,,
Puf60,,,,
Swt1,,,,
Cux1,,,,
Mpp1,,,,
Abhd12,,,,
Zfp462,,,,
Zfp579,,,,
Eva1a,,,,
Trim3,,,,
P3h2,,,,
Rilpl1,,,,
Fntb,,,,
Ube2s,,,,
Tmed7,,,,
Fam234a,,,,
Fdps,,,,
