gene,distance,Z,FC,p.value,p.adj
Pex11b,1.94385153514843e-12,0.0785118946308623,3.91892578034787e-09,0.999950051370039,0.999999999982601
Ppp2r1a,1.94321858315626e-12,0.078472710869263,3.91637405457121e-09,0.999950067634185,0.999999999982601
Tars,1.9384847947646e-12,0.0781792612039811,3.89731628635903e-09,0.999950189272201,0.999999999982601
Psmd10,1.90836193036797e-12,0.0762952809274621,3.77713357323295e-09,0.99995096330035,0.999999999982601
D2Wsu81e,1.90815745133278e-12,0.0762823926253014,3.776324184575e-09,0.999950968554582,0.999999999982601
Hoxc4,1.90433312593217e-12,0.0760410953988795,3.76120235038495e-09,0.999951066823308,0.999999999982601
Fam175b,1.88309354236573e-12,0.0746922545469444,3.67777065187423e-09,0.99995161258932,0.999999999982601
Pigc,1.86187534931209e-12,0.0733297718250884,3.59535732128088e-09,0.999952157805687,0.999999999982601
Rbbp9,1.86187292603432e-12,0.0733296153501768,3.59534796239034e-09,0.999952157867955,0.999999999982601
Furin,1.85737045291324e-12,0.0730385375414,3.57798009149427e-09,0.999952273562162,0.999999999982601
Mrps17,1.8471553616872e-12,0.0723755703622246,3.53873225427112e-09,0.999952536046103,0.999999999982601
Zranb1,1.83664409106919e-12,0.0716896119042592,3.49857240712614e-09,0.999952806140581,0.999999999982601
Aimp2,1.83420654315962e-12,0.0715299885676119,3.4892921346265e-09,0.999952868775086,0.999999999982601
Mthfsl,1.83067023281302e-12,0.071298041836191,3.47585054589146e-09,0.999952959643063,0.999999999982601
Stk16,1.81894070126487e-12,0.0705255391086438,3.4314520669776e-09,0.999953261041611,0.999999999982601
Ptbp1,1.80514163688395e-12,0.0696104504629644,3.37958537476857e-09,0.999953615618258,0.999999999982601
Plcg1,1.80320803351119e-12,0.0694816746458137,3.37234906972162e-09,0.999953665303555,0.999999999982601
Cops5,1.80170344093803e-12,0.0693813766234205,3.36672365723617e-09,0.999953703965117,0.999999999982601
Siae,1.8012128994019e-12,0.0693486587313554,3.36489062197469e-09,0.999953716569926,0.999999999982601
Dcaf6,1.79995322577795e-12,0.0692646015547182,3.36018581243666e-09,0.999953748938124,0.999999999982601
Pithd1,1.76920381409315e-12,0.0671945953482887,3.24635932800474e-09,0.999954539065846,0.999999999982601
Zc3h12a,1.76078847402781e-12,0.0666219280141712,3.21554971225565e-09,0.999954755303917,0.999999999982601
Avl9,1.75935409661559e-12,0.0665240500248881,3.21031292964688e-09,0.999954792161251,0.999999999982601
Hps3,1.75935017931309e-12,0.0665237826116054,3.21029863377218e-09,0.999954792261909,0.999999999982601
Scn2a1,1.75934417229088e-12,0.0665233725432042,3.21027671169834e-09,0.999954792416264,0.999999999982601
P4htm,1.75933608318011e-12,0.0665228203391911,3.21024719135248e-09,0.999954792624119,0.999999999982601
Ahdc1,1.75681187582323e-12,0.0663503831617436,3.20104199567736e-09,0.9999548574854,0.999999999982601
Cnnm2,1.74938377878401e-12,0.0658415295982674,3.17403013067611e-09,0.999955048355568,0.999999999982601
Pef1,1.74213101987677e-12,0.0653426360418161,3.14776630525277e-09,0.9999552347203,0.999999999982601
D3Ertd254e,1.7274546468224e-12,0.0643268265213833,3.09495374616519e-09,0.999955611840009,0.999999999982601
Npat,1.71620760721731e-12,0.063542622397653,3.0547839498565e-09,0.999955900840588,0.999999999982601
Aff4,1.7120957335292e-12,0.063254660058799,3.04016352941676e-09,0.99995600649807,0.999999999982601
Shc1,1.7020793860886e-12,0.0625503442249358,3.00469558423585e-09,0.999956263875149,0.999999999982601
Ap3s2,1.70148245365501e-12,0.0625082415369246,3.00258841373934e-09,0.999956279213747,0.999999999982601
Rubcn,1.70146473958618e-12,0.0625069919110943,3.00252589439823e-09,0.999956279668923,0.999999999982601
Rc3h1,1.70146409533393e-12,0.0625069464625563,3.00252362061182e-09,0.999956279685477,0.999999999982601
Adcy2,1.70146269427332e-12,0.0625068476251942,3.00251867579298e-09,0.999956279721478,0.999999999982601
Capn7,1.70146214139418e-12,0.0625068086224941,3.00251672449581e-09,0.999956279735685,0.999999999982601
Hyou1,1.70146182404006e-12,0.0625067862348337,3.00251560444627e-09,0.99995627974384,0.999999999982601
Mettl2,1.70146142362596e-12,0.062506757987724,3.00251419125037e-09,0.999956279754129,0.999999999982601
Alms1,1.70145572722789e-12,0.0625063561360683,3.00249408678348e-09,0.999956279900502,0.999999999982601
Zfp386,1.70145448730358e-12,0.0625062686655947,3.0024897106907e-09,0.999956279932362,0.999999999982601
Naa60,1.70145397356747e-12,0.062506232424058,3.00248789755122e-09,0.999956279945563,0.999999999982601
Usp42,1.70145316017338e-12,0.0625061750431127,3.00248502682377e-09,0.999956279966464,0.999999999982601
Pkia,1.70145164405643e-12,0.0625060680884603,3.00247967596662e-09,0.999956280005422,0.999999999982601
Pi4ka,1.70145133834554e-12,0.062506046522037,3.00247859701656e-09,0.999956280013277,0.999999999982601
Parp12,1.70144877841832e-12,0.0625058659314192,3.00246956223466e-09,0.999956280079056,0.999999999982601
Wrb,1.70144850815583e-12,0.0625058468656781,3.00246860839479e-09,0.999956280086001,0.999999999982601
Klhl29,1.70144406196397e-12,0.0625055332074311,3.00245291643117e-09,0.999956280200249,0.999999999982601
Rdh14,1.70144197521974e-12,0.0625053859970108,3.00244555169013e-09,0.999956280253869,0.999999999982601
Ddx18,1.70143116718962e-12,0.0625046235362594,3.00240740708175e-09,0.999956280531589,0.999999999982601
Taf1,1.70105994263936e-12,0.0624784323288882,3.00109739728453e-09,0.999956290070464,0.999999999982601
Arhgef11,1.70042774106955e-12,0.0624338153468319,2.99886708679258e-09,0.999956306315328,0.999999999982601
Dok1,1.69986221531363e-12,0.0623938901373868,2.99687270088701e-09,0.999956320846909,0.999999999982601
Itpa,1.69800832106418e-12,0.0622629166580627,2.99033940030265e-09,0.999956368484023,0.999999999982601
Lrrc8d,1.67578647162576e-12,0.0606819700633242,2.91258236043495e-09,0.999956939490046,0.999999999982601
Msl3l2,1.67534938009479e-12,0.060650667696354,2.9110631942652e-09,0.99995695072142,0.999999999982601
Eif2b2,1.6706775291709e-12,0.0603155906325357,2.89485034816181e-09,0.999957070767909,0.999999999982601
Chadl,1.65274583334064e-12,0.0590208832181232,2.83304189332842e-09,0.999957531535423,0.999999999982601
Galnt11,1.64102140901497e-12,0.058166874890021,2.79298979362216e-09,0.999957832802737,0.999999999982601
Imp3,1.64086686568374e-12,0.0581555779739005,2.79246375828871e-09,0.999957836773837,0.999999999982601
Eif1ad,1.61068858421886e-12,0.0559293161324697,2.69069217661979e-09,0.999958612225966,0.999999999982601
Pknox2,1.60293066892225e-12,0.0553503937144221,2.66483504721526e-09,0.999958811571047,0.999999999982601
Vamp3,1.59367703627372e-12,0.0546562466457403,2.63415595876369e-09,0.999959049349634,0.999999999982601
Aldh1a2,1.59269898618708e-12,0.0545826485805113,2.63092375318157e-09,0.999959074481318,0.999999999982601
Pno1,1.57839697509582e-12,0.0535013259550047,2.58388591542968e-09,0.999959441981534,0.999999999982601
Nol6,1.57839051083336e-12,0.0535008350437986,2.58386475106763e-09,0.999959442147638,0.999999999982601
Lsg1,1.57751864367099e-12,0.0534346053157913,2.58101100274769e-09,0.999959464550877,0.999999999982601
Api5,1.57535643760477e-12,0.0532702022204767,2.57394059108983e-09,0.999959520110279,0.999999999982601
Topbp1,1.55903084649921e-12,0.0520216875024198,2.52086896109461e-09,0.999959939607805,0.999999999982601
Kat8,1.55336385352565e-12,0.0515852953203689,2.50257582371026e-09,0.999960085225168,0.999999999982601
Uba3,1.5316592385165e-12,0.0498993246827092,2.43312916413626e-09,0.999960642940489,0.999999999982601
Cox20,1.50626677608952e-12,0.0478968526855058,2.35312310734567e-09,0.999961295417639,0.999999999982601
Pum2,1.50383202276556e-12,0.047703107336997,2.34552200513245e-09,0.999961357980335,0.999999999982601
Vps36,1.4448696546839e-12,0.0429146443561319,2.16520087972988e-09,0.999962873059779,0.999999999982601
Tmem18,1.44377942434661e-12,0.0428243089080843,2.16193459603241e-09,0.999962901074013,0.999999999982601
Slc39a14,1.44211061146396e-12,0.0426859028370548,2.15693967901951e-09,0.999962943955331,0.999999999982601
Zfp266,1.4393479507576e-12,0.0424564304122475,2.14868346801144e-09,0.999963014943838,0.999999999982601
D5Ertd579e,1.43934727755438e-12,0.0424563744418757,2.14868145807313e-09,0.999963014961136,0.999999999982601
Dusp14,1.43934669194571e-12,0.0424563257541267,2.14867970966083e-09,0.999963014976184,0.999999999982601
Fam234a,1.43934635143927e-12,0.0424562974442712,2.14867869303408e-09,0.999963014984933,0.999999999982601
Rce1,1.43934136113603e-12,0.0424558825474979,2.14866379385481e-09,0.999963015113163,0.999999999982601
Fam216a,1.4393384434588e-12,0.0424556399694267,2.14865508278564e-09,0.999963015188135,0.999999999982601
Nip7,1.43290029579551e-12,0.0419191875226586,2.12947624334055e-09,0.999963180620859,0.999999999982601
Smim8,1.43267264172182e-12,0.041900175168166,2.12879964995486e-09,0.99996318647059,0.999999999982601
Parp2,1.42539490025405e-12,0.041290811621071,2.10722667862172e-09,0.999963373477267,0.999999999982601
Gar1,1.41466210912073e-12,0.0403865593964564,2.07561259553013e-09,0.99996364926387,0.999999999982601
Vps26a,1.41465913721907e-12,0.0403863080779392,2.07560387470558e-09,0.999963649340235,0.999999999982601
Drg1,1.40779243363158e-12,0.0398042371198427,2.05550296770256e-09,0.999963825785005,0.999999999982601
Clptm1,1.38043983208327e-12,0.0374576261728141,1.97640443225153e-09,0.999964528629306,0.999999999982601
Pspc1,1.36115761836557e-12,0.0357757809322893,1.92157655466982e-09,0.999965024099325,0.999999999982601
Cmc4,1.35253063646432e-12,0.035015723962811,1.89729593889168e-09,0.999965245775682,0.999999999982601
Prpf40b,1.34852122224339e-12,0.034660863527264,1.88606400073225e-09,0.999965348800395,0.999999999982601
Zbtb7b,1.337097059729e-12,0.0336440365412526,1.85424331664743e-09,0.999965642352272,0.999999999982601
Tbpl1,1.32477230371905e-12,0.0325374394254214,1.82021770640295e-09,0.99996595904553,0.999999999982601
Gcdh,1.30980803521741e-12,0.0311801799699533,1.77932858363676e-09,0.999966343562916,0.999999999982601
Sesn3,1.30917756827589e-12,0.0311226628614363,1.77761606114072e-09,0.999966359763206,0.999999999982601
Il4ra,1.30917587670384e-12,0.0311225085037817,1.77761146747249e-09,0.999966359806673,0.999999999982601
Fam109b,1.30849738620641e-12,0.0310605797631064,1.77576942321106e-09,0.999966377240962,0.999999999982601
Gmppb,1.28378390794272e-12,0.0287831122898171,1.70932525720433e-09,0.999967012271137,0.999999999982601
Tmem201,1.28345431078483e-12,0.0287524482790543,1.70844766959582e-09,0.999967020740368,0.999999999982601
Ttll5,1.28345151352001e-12,0.0287521880029464,1.70844022254403e-09,0.999967020812245,0.999999999982601
Homer1,1.28342140323336e-12,0.0287493863065182,1.70836006210032e-09,0.99996702158595,0.999999999982601
Ppp2r3c,1.28271121747101e-12,0.0286832863503031,1.70646993106291e-09,0.999967039834672,0.999999999982601
Emc4,1.25768934417161e-12,0.026331159594199,1.64054299757948e-09,0.999967682789274,0.999999999982601
Sh2d4a,1.25205943532624e-12,0.0257956018984027,1.625888448166e-09,0.999967827453735,0.999999999982601
Zfp292,1.25198448245883e-12,0.0257884558994685,1.62569379070774e-09,0.999967829379701,0.999999999982601
Olfm1,1.24634736724735e-12,0.0252498063887201,1.61108723261399e-09,0.999967974229334,0.999999999982601
Ddi2,1.24267584973153e-12,0.0248976897730781,1.60160926093157e-09,0.999968068571555,0.999999999982601
Gm10020,1.23889905565555e-12,0.0245344090545291,1.59188869501322e-09,0.99996816561893,0.999999999982601
Rbfa,1.23870249053695e-12,0.0245154721689442,1.5913835933822e-09,0.999968170669809,0.999999999982601
Atg7,1.23699639856971e-12,0.024350984920151,1.58700291757085e-09,0.99996821450904,0.999999999982601
Actr1b,1.23100701535118e-12,0.023771769164607,1.57167198010152e-09,0.999968368410446,0.999999999982601
Prr12,1.23015920230274e-12,0.0236895561352268,1.5695078573222e-09,0.999968390195598,0.999999999982601
Zfp354c,1.22914804270434e-12,0.0235914304925579,1.56692872661217e-09,0.999968416178054,0.999999999982601
Tssc4,1.22914123212625e-12,0.0235907693070567,1.5669113622907e-09,0.999968416353056,0.999999999982601
Hipk3,1.22762465217911e-12,0.0234434468102331,1.56304707028331e-09,0.999968455322643,0.999999999982601
Gltscr1l,1.2236135578528e-12,0.023052940920233,1.55284967515445e-09,0.999968558390528,0.999999999982601
Tmem260,1.22140512277966e-12,0.0228373986050761,1.54724942183557e-09,0.999968615137817,0.999999999982601
Atg3,1.1826051905472e-12,0.0189867937170189,1.45050896179947e-09,0.999969612129317,0.999999999982601
Farp1,1.18090452742278e-12,0.0188151904157965,1.44634010917845e-09,0.99996965582905,0.999999999982601
Trim21,1.17484074653491e-12,0.0182013506512762,1.43152473300128e-09,0.999969811642157,0.999999999982601
Yrdc,1.17481710907265e-12,0.0181989517361202,1.43146712983839e-09,0.999969812249539,0.999999999982601
Rnf113a2,1.17481702073629e-12,0.0181989427709635,1.43146691456981e-09,0.999969812251809,0.999999999982601
Yeats4,1.17032714094913e-12,0.0177424127883496,1.42054634944717e-09,0.999969927622422,0.999999999982601
Hs3st3a1,1.16459090679057e-12,0.0171566449762743,1.40665516211405e-09,0.999970075018986,0.999999999982601
Sap30bp,1.14824900505887e-12,0.0154721910552055,1.36745489534076e-09,0.999970494935625,0.999999999982601
Mthfr,1.14544139551506e-12,0.0151804267588764,1.36077588121813e-09,0.999970567079123,0.999999999982601
Tmx1,1.13372567881022e-12,0.0139553120955388,1.33308186905536e-09,0.999970868122689,0.999999999982601
Cdip1,1.1308922812022e-12,0.013657156475119,1.32642694161086e-09,0.99997094092883,0.999999999982601
Ddx3y,1.11420401139498e-12,0.0118860422108836,1.28756834248038e-09,0.999971369745639,0.999999999982601
9430020K01Rik,1.11075697710463e-12,0.011516966469035,1.27961391623967e-09,0.999971458319606,0.999999999982601
Fnip1,1.08865140667433e-12,0.00912303533008274,1.2291886201269e-09,0.999972026337758,0.999999999982601
Mrpl34,1.07013314490301e-12,0.00708055928346053,1.1877266079134e-09,0.999972502177496,0.999999999982601
Zfyve9,1.04425820184555e-12,0.00416777566582586,1.13098447846171e-09,0.999973167052325,0.999999999982601
Srprb,1.04425192087746e-12,0.00416706003881834,1.13097087329003e-09,0.999973167213718,0.999999999982601
Rxra,1.04424729502063e-12,0.00416653298550182,1.13096085329841e-09,0.999973167332583,0.999999999982601
Prorsd1,1.04424404378679e-12,0.00416616255036232,1.13095381088137e-09,0.999973167416126,0.999999999982601
Zdhhc5,1.04424194068944e-12,0.00416592292960151,1.13094925542599e-09,0.999973167470166,0.999999999982601
Stat5b,1.04424114348717e-12,0.00416583209858436,1.13094752863275e-09,0.999973167490651,0.999999999982601
Mrpl28,1.03693864101394e-12,0.00333093480073611,1.11518513509754e-09,0.999973355133579,0.999999999982601
E130311K13Rik,1.03485982129922e-12,0.00309220682458166,1.11071824581578e-09,0.999973408550311,0.999999999982601
Mid2,1.02645890638934e-12,0.00212263954948383,1.0927579870473e-09,0.999973624417718,0.999999999982601
Mrpl21,1.01988389716908e-12,0.00135835242180208,1.0788034443304e-09,0.999973793367196,0.999999999982601
Bcl2l2,1.00703216321593e-12,-0.000149622425185219,1.05178636828902e-09,0.999974123601523,0.999999999982601
Jmjd1c,1.00330663514697e-12,-0.000590296274410173,1.04401856983077e-09,0.999974219331583,0.999999999982601
Tsg101,9.92588311922257e-13,-0.00186713197958566,1.02183122245055e-09,0.999974494746423,0.999999999982601
Ascc1,9.86923896372107e-13,-0.00254739265351244,1.0102019071469e-09,0.999974640297558,0.999999999982601
Evc2,9.86706577870467e-13,-0.00257356754353233,1.00975706759039e-09,0.999974645881709,0.999999999982601
Prkrip1,9.83336172042649e-13,-0.00298024184132548,1.00287056520493e-09,0.999974732486653,0.999999999982601
Stoml2,9.83151661419875e-13,-0.00300254445417541,1.00249424850353e-09,0.999974737227783,0.999999999982601
Rbsn,9.71330493057493e-13,-0.00444005672421133,9.78531702096003e-10,0.999975040981004,0.999999999982601
Slc9a6,9.54988421354659e-13,-0.00645588344905279,9.45882230618743e-10,0.99997546090201,0.999999999982601
Slc35a5,9.42156831872352e-13,-0.00806256955595678,9.20634526316106e-10,0.999975790618711,0.999999999982601
Smn1,9.39954528327338e-13,-0.00834048617505464,9.16335566865875e-10,0.999975847208447,0.999999999982601
Smpd2,9.34043487864994e-13,-0.00908959491653916,9.04846786850255e-10,0.999975999096782,0.999999999982601
