"","TF","D","W"
"34","JUND","O",0.086452607280856
"130","JUN","O",0.0828643378861643
"10","JUND","O",0.0809912321984154
"408","JUN","O",0.0807225008187783
"370","JUN","O",0.0772801223544976
"72","JUN","O",0.0762574525769173
"644","JUN","O",0.0731854215147043
"1222","JUN","O",0.0728774715462142
"306","JUND","O",0.0723409906020476
"230","JUND","O",0.0721307201872865
"50","JUND","O",0.0708958858402617
"24","MEF2C","O",0.0676041827781483
"226","JUND","O",0.0663930550331177
"38","JUND","O",0.0656174197860112
"600","JUND","O",0.0655240797701522
"46","MEF2A","O",0.0655112105089384
"1176","JUND","O",0.0654230605950192
"69","STAT1","I",0.0650801931303385
"144","JUND","O",0.0642468403785906
"974","JUND","O",0.0641040229574399
"172","MEF2A","O",0.0626979647800643
"124","JUND","O",0.0599761256181886
"606","EGR1","O",0.0588564654621179
"522","EGR1","O",0.0575560670424391
"202","EGR1","O",0.0562210853441973
"1174","EGR1","O",0.0561124515433981
"988","EGR1","O",0.0560823310932456
"136","EGR1","O",0.0542676876830719
"354","ZBTB7A","O",0.0497568939174324
"47","CEBPB","I",0.0492085222354604
"622","ZBTB7A","O",0.0487342982262208
"580","IKZF1","O",0.0478499313154324
"410","POU2F2","O",0.0464000505287569
"692","POU2F2","O",0.0458051852035436
"148","ZBTB7A","O",0.0451799154805782
"150","FOS","O",0.044980168957053
"111","CEBPB","I",0.0437461080361048
"610","FOS","O",0.0430380251776933
"167","STAT1","I",0.0426440439319675
"270","FOS","O",0.042513439090346
"117","CEBPB","I",0.0423336438325287
"1216","FOS","O",0.0420670199915276
"804","FOS","O",0.0416148530222268
"407","JUN","I",0.041546373518999
"33","JUND","I",0.0411082795947473
"889","MAFF","I",0.0402781645257541
"369","JUN","I",0.0401267513932179
"71","JUN","I",0.040076108445166
"129","JUN","I",0.0399824962881766
"20","NR3C1","O",0.0394659474771673
"394","ZMIZ1","O",0.0393515180508034
"681","MAFF","I",0.0390454062310319
"365","CEBPB","I",0.038546029449709
"207","CEBPB","I",0.0380544883581235
"1123","CEBPB","I",0.0380415087829911
"829","STAT1","I",0.0378538830339228
"587","CEBPB","I",0.0378289668680364
"1221","JUN","I",0.0378181891284572
"3","SUZ12","I",0.0377382935618962
"643","JUN","I",0.0376649656383037
"684","SPI1","O",0.0375861379226715
"227","CEBPB","I",0.0375468160400078
"206","SPI1","O",0.0375365802990217
"890","MAFF","O",0.037262516985942
"735","CEBPB","I",0.0369325073066452
"1116","ZMIZ1","O",0.0367081155255801
"682","MAFF","O",0.0365925263586651
"352","NR3C1","O",0.0364815929195146
"1071","CBX3","I",0.0362072971510924
"286","SPI1","O",0.0354949721244493
"1203","CEBPB","I",0.0352062416594026
"1121","CEBPB","I",0.0347047955025966
"70","STAT1","O",0.0346126821689444
"420","SPI1","O",0.0345036432070079
"623","CEBPB","I",0.0340131353412438
"826","ZMIZ1","O",0.0340046809810923
"25","GABPA","I",0.0331117448296266
"344","ATF3","O",0.0326931738995673
"149","FOS","I",0.0324621303088213
