"","TF","D","W"
"465","CTCF","I",0.0147041007495727
"118","CEBPB","O",0.0147021867271279
"721","MAX","I",0.0146872861391007
"479","CTCF","I",0.0146870502378275
"481","TAF1","I",0.0146681154064687
"701","TAF1","I",0.0146268604517963
"725","SMC3","I",0.0146095564929327
"299","CTCF","I",0.0145831022474253
"1101","EP300","I",0.0145690784317203
"451","CTCF","I",0.0145617114626674
"581","REST","I",0.0145599259820456
"571","CTCF","I",0.0145588664614626
"107","TAF1","I",0.0145542788620402
"208","CEBPB","O",0.0145343273507564
"228","CEBPB","O",0.0145343273507564
"101","ZC3H11A","I",0.0145271932052113
"21","ZEB1","I",0.0145265739618227
"1137","CTCF","I",0.0145260920555576
"739","MYC","I",0.0145230367608484
"237","GTF3C2","I",0.0145151341398748
"313","CTCF","I",0.0145132398907421
"491","CTCF","I",0.0145103948895373
"1140","TCF7L2","O",0.0145045353663966
"5","REST","I",0.0144954267542439
"789","ATF1","I",0.0144775047136742
"405","CTCF","I",0.0144541106398634
"379","RAD21","I",0.0144482919739162
"191","PML","I",0.0144415146383615
"845","PBX3","I",0.014435001388584
"273","MAX","I",0.0144293893119944
"1087","MAX","I",0.0144265480365751
"665","SP1","I",0.0144217977517927
"1124","CEBPB","O",0.0144073642210526
"999","MAX","I",0.0143969297107838
"389","MAX","I",0.0143919946600104
"337","TAF1","I",0.0143845123308118
"541","MAFK","I",0.0143617877064252
"916","TCF7L2","O",0.0143513787935324
"816","IRF3","O",0.0143315180566898
"817","RAD21","I",0.0143284843362718
"283","TAF1","I",0.0143261822727959
"133","TAF7","I",0.0143240037975528
"741","TAF1","I",0.0143230438446171
"333","TAF1","I",0.0143177212757351
"1001","RAD21","I",0.0142858509013504
"971","RAD21","I",0.0142568882894865
"678","MAX","O",0.0142220724180385
"687","RAD21","I",0.0142144456528303
"832","ARID3A","O",0.0141994013050896
"933","ZC3H11A","I",0.0141859636297645
"1072","CBX3","O",0.014161060303033
"121","CTCF","I",0.0141571274121596
"113","NR2C2","I",0.0141433269397164
"453","RAD21","I",0.0141208703759233
"879","NFYA","I",0.0141197374400092
"177","TCF12","I",0.0141190319855899
"939","CTCF","I",0.0140887406935914
"119","RAD21","I",0.0140527600973587
"437","CTCF","I",0.013996242168397
"1094","HCFC1","O",0.0139833780180716
"397","NR2C2","I",0.0139741287820031
"95","E2F4","I",0.0139738773882464
"463","TAF1","I",0.0139440631248674
"526","RNF2","O",0.0139434315363983
"467","CTCF","I",0.0139140561639523
"613","CTCF","I",0.0139140561639523
"377","CTCF","I",0.0139092713535566
"219","CTCF","I",0.0138797920141622
"373","CTCF","I",0.0138797920141622
"1209","MAX","I",0.0138754855122759
"819","STAT3","I",0.0138716719524425
"433","CTCF","I",0.0138683706308988
"1043","MAX","I",0.0138488387514511
"425","CTCF","I",0.0138473129892107
"747","CTCF","I",0.0138473129892107
"261","CTCF","I",0.0138409727206912
"661","SMARCC1","I",0.0138407184356316
"1155","CTCF","I",0.0138021320929069
"892","MYC","O",0.0138016514359651
"421","RAD21","I",0.013800118525228
"1211","CTCF","I",0.0137990741546166
"211","TCF12","I",0.0137850163230624
"507","CTCF","I",0.0137812126263831
"77","RXRA","I",0.0137723760198684
"1139","TCF7L2","I",0.013762324778917
"499","CTCF","I",0.0137601549846949
"271","CTCF","I",0.013752038735242
"633","CTCF","I",0.0137447062949328
"787","CTCF","I",0.0137447062949328
"535","CTCF","I",0.0137249894103261
"367","EP300","I",0.0137140531892809
"85","NR2C2","I",0.0137122070211916
"109","REST","I",0.0137104159281761
"677","MAX","I",0.0137033594932396
"1223","CTCF","I",0.0136979616822718
"399","CTCF","I",0.0136939120751483
"385","CTCF","I",0.0136878360774335
"263","CTCF","I",0.013670955551079
"1091","CTCF","I",0.0136557347485293
"1227","EP300","I",0.0136506452875892
"588","CEBPB","O",0.0136489788726218
"690","HCFC1","O",0.0136255752746685
"223","NR2C2","I",0.0136222441621381
"427","TAF1","I",0.0136166630169671
"287","CTCF","I",0.0136126018497764
"1185","CTCF","I",0.0136126018497764
"569","CTCF","I",0.0135694689510236
"867","MAFK","I",0.0135638963502879
"79","SREBF2","I",0.0135275620545172
"1143","CTCF","I",0.0135016353183197
"659","CTCF","I",0.013483203153518
"779","YY1","I",0.0134505479426797
"704","MXI1","O",0.0134408108236332
"221","RAD21","I",0.0133917237157381
"53","FOSL2","I",0.0133869635625262
"127","GTF3C2","I",0.0133762001311728
"1236","MYC","O",0.0133634568848011
"591","CCNT2","I",0.0133426691543
"1145","CTCF","I",0.0133222477677117
"1177","YY1","I",0.0132961273456889
"555","CTCF","I",0.0132952570770267
"679","SMC3","I",0.0132771356407108
"763","NFYA","I",0.0132683026257911
"1161","CTCF","I",0.0132566491607886
"646","POLR2A","O",0.0132359575035786
"821","MYC","I",0.0132356994057243
"856","POLR2A","O",0.013228791723341
"75","RXRA","I",0.0132255055799819
"1235","MYC","I",0.0132001090449435
"755","CTCF","I",0.0131837128465253
"1202","POLR2A","O",0.0131770096644944
"775","TRIM28","I",0.0131767480132789
"1032","POLR2A","O",0.0131631948335829
"321","CTCF","I",0.0131592650773564
"477","CTCF","I",0.0131592650773564
"1217","CTCF","I",0.0131545104769906
"195","E2F4","I",0.0131447336245966
"1233","EP300","I",0.0131429336715206
"840","POLR2A","O",0.0131364896091375
"753","CTCF","I",0.0131353243300087
"1013","CTCF","I",0.0131348173081875
"415","CTCF","I",0.0131204526056906
"485","CTCF","I",0.0131173233227564
"713","CTCF","I",0.0131173233227564
"886","MYC","O",0.0131025280122371
"538","MXI1","O",0.0130904154582793
"708","POLR2A","O",0.0130720979563778
"822","MYC","O",0.0130424316887667
"894","POLR2A","O",0.0130421090737161
"860","POLR2A","O",0.0130258398492935
"1196","MYC","O",0.0130210759295849
"1244","MYC","O",0.0130165008324163
"1226","POLR2A","O",0.013000320767891
"740","MYC","O",0.0129782111109962
"882","POLR2A","O",0.0129688493577574
"551","KDM5A","I",0.0129665592373296
"254","POLR2A","O",0.0129656950405729
"1238","POLR2A","O",0.0129456147982629
"910","POLR2A","O",0.0129432790731862
"1134","POLR2A","O",0.0129418359119228
"487","CTCF","I",0.0129318435789555
"583","CTCF","I",0.0129318435789555
"852","POLR2A","O",0.0129295977995029
"519","CTCF","I",0.0129191745339915
"607","CTCF","I",0.0129191745339915
"1194","POLR2A","O",0.0129173596870829
"1049","YY1","I",0.0129107011455857
"841","CTCF","I",0.0129070649329154
"74","TCF7L2","O",0.0128822426921444
"626","MXI1","O",0.0128747631443152
"1152","POLR2A","O",0.0128565993785211
"1030","POLR2A","O",0.0128481125223443
"1183","MAFK","I",0.0128380469410651
"1157","YY1","I",0.012835972606294
"1040","POLR2A","O",0.0128291326043649
"875","CTCF","I",0.0128279646626866
"612","MXI1","O",0.0128188666336424
"980","POLR2A","O",0.0128102573375571
"325","MAX","I",0.0128069738679369
"1246","POLR2A","O",0.0127985518789304
"1068","POLR2A","O",0.0127984951135028
"1005","MYC","I",0.0127623188995381
"1214","POLR2A","O",0.0127444613938014
"1192","MYC","O",0.0127244324051497
"920","POLR2A","O",0.0127228414021971
"887","SMARCB1","I",0.0127213408392089
"655","CTCF","I",0.0127196389528707
"862","POLR2A","O",0.0127147848431612
"586","MXI1","O",0.0127141208382472
"896","POLR2A","O",0.0126952768581026
"1024","POLR2A","O",0.0126851113269837
"908","POLR2A","O",0.0126658735168117
"858","POLR2A","O",0.0126333703233982
"310","POLR2A","O",0.0126321524439907
"734","MXI1","O",0.0126244660023124
"498","POLR2A","O",0.0126162642619248
"928","POLR2A","O",0.0126075505171635
"696","POLR2A","O",0.012603423753064
"1058","MXI1","O",0.0126011619514005
"946","MYC","O",0.0125674127390062
"700","POLR2A","O",0.012565762832939
"517","TBP","I",0.0125554629206544
"915","TCF7L2","I",0.0125533365920907
"932","POLR2A","O",0.0125506487114745
"471","PML","I",0.0125465298907224
"395","CTCF","I",0.0125361103345544
"863","TBP","I",0.0125192286558218
"1147","MAX","I",0.0125161398068293
"1128","POLR2A","O",0.012508925553036
"371","ATF3","I",0.0124976635383516
"1018","UBTF","O",0.0124970151330563
"1219","CTCF","I",0.0124962201315539
"1242","POLR2A","O",0.0124918868512637
"1207","STAT3","I",0.0124868284658631
"636","MXI1","O",0.0124624911888284
"158","ZEB1","O",0.0124615452851052
"667","YY1","I",0.0124590279349551
"1107","HCFC1","I",0.012458799857821
"1179","MAX","I",0.0124563922337804
"924","MXI1","O",0.0124518573953718
"1038","POLR2A","O",0.0124494612558287
"801","MAFK","I",0.0124427551309669
"267","TAF1","I",0.0124348949795803
"1007","RAD21","I",0.0124129254784753
"906","POLR2A","O",0.0123839616276636
"473","CTCF","I",0.0123739302435392
"247","SREBF1","I",0.0123670709785027
"812","POLR2A","O",0.012365590367
"1084","MYC","O",0.0123642841529369
"293","TCF12","I",0.0123584504590961
"245","TCF12","I",0.0123395524108197
"984","POLR2A","O",0.0123270910574127
