"","TF","D","W"
"34","JUND","O",0.0821931994417445
"33","JUND","I",0.0818287465916415
"408","JUN","O",0.0813252671454596
"407","JUN","I",0.0808923599794935
"130","JUN","O",0.0806575267259106
"129","JUN","I",0.0802421862967434
"370","JUN","O",0.0785009293090027
"369","JUN","I",0.0779459091730642
"72","JUN","O",0.0760509925297416
"71","JUN","I",0.0752294581970137
"1222","JUN","O",0.0744080062880627
"1221","JUN","I",0.0740781331285946
"644","JUN","O",0.0738131773075849
"643","JUN","I",0.0733254480110062
"10","JUND","O",0.0705147333555506
"9","JUND","I",0.0698356648171807
"306","JUND","O",0.0677203045338456
"230","JUND","O",0.0673267746608248
"305","JUND","I",0.0670946730515704
"229","JUND","I",0.0667263900351849
"69","STAT1","I",0.0666695007626385
"70","STAT1","O",0.0659928686334198
"38","JUND","O",0.0656174197860112
"37","JUND","I",0.0652296424631137
"1176","JUND","O",0.0624854300255232
"50","JUND","O",0.0623752714767677
"600","JUND","O",0.0621190907363943
"1175","JUND","I",0.0619904546271276
"49","JUND","I",0.0617749061272637
"599","JUND","I",0.0615132369330775
"974","JUND","O",0.0613723383287618
"144","JUND","O",0.0611942034096492
"973","JUND","I",0.0608703685804166
"143","JUND","I",0.0608321155368089
"226","JUND","O",0.0604461963717405
"225","JUND","I",0.060148136710647
"46","MEF2A","O",0.0596154352216971
"45","MEF2A","I",0.0592738112769472
"124","JUND","O",0.058986992328106
"24","MEF2C","O",0.058952827203943
"606","EGR1","O",0.0586705406434431
"23","MEF2C","I",0.0586299863504866
"123","JUND","I",0.0583999679741594
"605","EGR1","I",0.0581542574790591
"172","MEF2A","O",0.0578715533324974
"171","MEF2A","I",0.057780595706284
"889","MAFF","I",0.0558444716850125
"890","MAFF","O",0.0558106268762608
"682","MAFF","O",0.0547482811961165
"522","EGR1","O",0.0544162548161955
"681","MAFF","I",0.0543961999585358
"521","EGR1","I",0.0543167001478379
"988","EGR1","O",0.0533232581377348
"1174","EGR1","O",0.0531256082691617
"202","EGR1","O",0.053027289405054
"987","EGR1","I",0.0529515784520475
"1173","EGR1","I",0.0528489033531356
"201","EGR1","I",0.0526065632833216
"149","FOS","I",0.0511891533667532
"150","FOS","O",0.0511223849646569
"47","CEBPB","I",0.0508188839326735
"48","CEBPB","O",0.0507152574123812
"136","EGR1","O",0.0506627167639074
"135","EGR1","I",0.0504605235587526
"270","FOS","O",0.0504118268654975
"269","FOS","I",0.0501435242914617
"803","FOS","I",0.0499921073011172
"804","FOS","O",0.049925310892717
"610","FOS","O",0.0498773884398242
"609","FOS","I",0.0497923669404475
"1216","FOS","O",0.0491750898717245
"1215","FOS","I",0.0490889534312
"117","CEBPB","I",0.0483336277276733
"579","IKZF1","I",0.0480487111612215
"118","CEBPB","O",0.0479372960540225
"580","IKZF1","O",0.0479341455656811
"354","ZBTB7A","O",0.047025154351674
"353","ZBTB7A","I",0.046838725111579
"365","CEBPB","I",0.0462986403090128
"622","ZBTB7A","O",0.0460347590894122
"621","ZBTB7A","I",0.0458753900847518
"366","CEBPB","O",0.0458209020103502
"167","STAT1","I",0.0454196499190231
"111","CEBPB","I",0.0450891013783387
"735","CEBPB","I",0.0450603667700674
"112","CEBPB","O",0.0449885144167863
"168","STAT1","O",0.0449019856186785
"736","CEBPB","O",0.0448481600646897
"227","CEBPB","I",0.0442628959479222
"1071","CBX3","I",0.043863371427936
"228","CEBPB","O",0.0438248776016856
"587","CEBPB","I",0.0437972750220499
"1072","CBX3","O",0.0437856540763207
"207","CEBPB","I",0.0436988308684659
"208","CEBPB","O",0.0436576292405097
"829","STAT1","I",0.0435911875155901
"588","CEBPB","O",0.0434645379689214
"830","STAT1","O",0.0433074935136914
"692","POU2F2","O",0.043190460733547
"623","CEBPB","I",0.043110061046043
"624","CEBPB","O",0.0430769409483003
"691","POU2F2","I",0.0428827489450886
"148","ZBTB7A","O",0.0428270117797851
"1203","CEBPB","I",0.0427324206956348
"1123","CEBPB","I",0.0427012725427821
"147","ZBTB7A","I",0.0426242123421221
"1204","CEBPB","O",0.0425539075342061
"1124","CEBPB","O",0.0422747617958449
"1121","CEBPB","I",0.0422683053520964
"410","POU2F2","O",0.042070986175351
"409","POU2F2","I",0.0418335133263121
"1122","CEBPB","O",0.04181238053403
"25","GABPA","I",0.041339856693099
"26","GABPA","O",0.0412840419625998
"394","ZMIZ1","O",0.0400978661752083
"393","ZMIZ1","I",0.040075123598267
"976","ATF3","O",0.0399167673193848
"975","ATF3","I",0.039705122362829
"4","SUZ12","O",0.0392818175132897
"3","SUZ12","I",0.0392184094483563
"57","ZZZ3","I",0.0378153401462803
"27","CBX3","I",0.037796844320396
"58","ZZZ3","O",0.0377741224702433
"543","HMGN3","I",0.0375618940050899
"544","HMGN3","O",0.0375219086876358
"28","CBX3","O",0.0374654794003516
"176","ATF3","O",0.0373715265614823
"371","ATF3","I",0.0373557231181687
"175","ATF3","I",0.0373120386366409
"372","ATF3","O",0.0372805875777124
"343","ATF3","I",0.0372050673381212
"344","ATF3","O",0.0370780441243025
"387","ATF3","I",0.0363470323800192
"388","ATF3","O",0.0361546807930824
"351","NR3C1","I",0.0354308099763284
"352","NR3C1","O",0.0353220933113875
"20","NR3C1","O",0.0352567787712883
"684","SPI1","O",0.0352118216243387
"19","NR3C1","I",0.0351769123418516
"683","SPI1","I",0.0350433653097862
"194","SUZ12","O",0.0349045239986673
"193","SUZ12","I",0.034848967746422
"35","ZZZ3","I",0.0346588103689393
"36","ZZZ3","O",0.0346213297979937
"106","RELA","O",0.0344664993005931
"105","RELA","I",0.0344588269412871
"206","SPI1","O",0.034118410235981
"564","SUZ12","O",0.0341019921923373
"563","SUZ12","I",0.0340969601359555
"1116","ZMIZ1","O",0.0340598345610291
"205","SPI1","I",0.0339516049158098
"1115","ZMIZ1","I",0.0339145322325091
"411","SAP30","I",0.0336827676775723
"412","SAP30","O",0.0336108603744759
"457","SAP30","I",0.0334002325750301
"458","SAP30","O",0.0331673877696066
"853","ETS1","I",0.0330900518810273
"854","ETS1","O",0.0330666901355523
"286","SPI1","O",0.0329235823675136
"826","ZMIZ1","O",0.0328315138746206
"285","SPI1","I",0.032829152599259
"825","ZMIZ1","I",0.0327263327201325
"39","ETS1","I",0.0324254723413024
"40","ETS1","O",0.0324140423782538
"511","NFATC1","I",0.0322947243382756
"512","NFATC1","O",0.0322272937638943
"1136","GABPA","O",0.031867287478316
"1135","GABPA","I",0.0318613271563375
"1110","GABPA","O",0.0318101824768051
"1142","GABPA","O",0.0317236303773208
"1229","IRF1","I",0.031714478370698
"1169","GABPA","I",0.0316893361759248
"1109","GABPA","I",0.0316681694982545
"1170","GABPA","O",0.0316376747776257
"1141","GABPA","I",0.0316182832330892
"591","CCNT2","I",0.0314480585861259
"1230","IRF1","O",0.0314425973080927
"592","CCNT2","O",0.0314201905540904
"12","EP300","O",0.031204825815845
"11","EP300","I",0.031154540677083
"420","SPI1","O",0.0308094783203728
"419","SPI1","I",0.0307338669456858
"903","GABPA","I",0.0307117982534384
"904","GABPA","O",0.030709630371214
"348","GABPA","O",0.0306801140952603
"347","GABPA","I",0.0306717575871856
"1131","GABPA","I",0.0306082291176194
"444","HDAC1","O",0.0305934605388935
"443","HDAC1","I",0.0305927010849234
"1132","GABPA","O",0.0305890204077371
"925","GABPA","I",0.0305051748400345
"926","GABPA","O",0.0304753764257191
"1028","ETS1","O",0.0303786965323771
"641","WRNIP1","I",0.0303700536986817
"642","WRNIP1","O",0.0303383458197383
"1027","ETS1","I",0.0303302802567691
"526","RNF2","O",0.0300671754952066
"989","GABPA","I",0.0300185735099053
"525","RNF2","I",0.030016876380751
"990","GABPA","O",0.0299951780406783
"774","NCOR1","O",0.0297574364575398
"773","NCOR1","I",0.0296809263656743
"87","NFIC","I",0.029222583597094
"160","RELA","O",0.0291289343885909
"159","RELA","I",0.0290997343410266
"339","GABPA","I",0.0290282387122454
"340","GABPA","O",0.029002350088069
"88","NFIC","O",0.0290017957677993
"238","GTF3C2","O",0.0278409005790085
"237","GTF3C2","I",0.0277022780296044
"166","CEBPZ","O",0.0273523347601479
"165","CEBPZ","I",0.0273294928655527
"52","NR3C1","O",0.0273187056668685
"51","NR3C1","I",0.027255572976945
"74","TCF7L2","O",0.027059365307561
"73","TCF7L2","I",0.0270559539761621
"648","TRIM28","O",0.0269827726645129
"647","TRIM28","I",0.0269541752657431
"461","ETS1","I",0.0269534451520688
"462","ETS1","O",0.0269519994150197
"414","ETS1","O",0.0267654057342641
"413","ETS1","I",0.0267215759327297
"127","GTF3C2","I",0.0266869971340545
"686","TRIM28","O",0.0266839290628639
"128","GTF3C2","O",0.0266590148719638
"721","MAX","I",0.0266209740080622
"685","TRIM28","I",0.0266083783096199
"722","MAX","O",0.0265973209827164
"775","TRIM28","I",0.0265895987723265
"776","TRIM28","O",0.0265787896524206
"265","EP300","I",0.0265598631526627
"266","EP300","O",0.0265336954241689
"1129","FLI1","I",0.0265288210634247
"1130","FLI1","O",0.0264948819176574
"651","EP300","I",0.0264369020633833
"652","EP300","O",0.026419505863765
"764","NFYA","O",0.0261909395173559
"763","NFYA","I",0.0261632982200664
"673","NFYA","I",0.026117737164573
"594","EP300","O",0.0260996768521131
"674","NFYA","O",0.0260971070044484
"100","EP300","O",0.0260571350289599
"593","EP300","I",0.0260570626994082
"99","EP300","I",0.0260269174203469
"750","CHD2","O",0.0259294876356823
"948","CHD7","O",0.0258904280608677
"142","CHD1","O",0.0258878185206112
"141","CHD1","I",0.0258842835005024
"947","CHD7","I",0.0258682893081679
"749","CHD2","I",0.0258048959701557
"134","TAF7","O",0.02572921045997
"678","MAX","O",0.0256868935024266
"133","TAF7","I",0.0256808517601918
"1042","MAX","O",0.0256259471349477
"677","MAX","I",0.0256259394304031
"298","MAX","O",0.0256039191179808
"1041","MAX","I",0.0255978865860626
"297","MAX","I",0.0255841533042845
"878","EP300","O",0.0255318785013358
"1000","MAX","O",0.0255110157033094
"877","EP300","I",0.025496824541035
"290","RELA","O",0.0254667186401186
"62","HSF1","O",0.0254452641313765
"289","RELA","I",0.0254429760446695
"999","MAX","I",0.0254265087952256
"828","CHD2","O",0.025392913171502
"810","RELA","O",0.0253918182717645
"61","HSF1","I",0.0253840899364653
"827","CHD2","I",0.0253697373562178
"809","RELA","I",0.0253449953934917
"1171","EP300","I",0.0252893635060386
"1172","EP300","O",0.0252734400305321
"1168","MAX","O",0.0252195422646973
"1167","MAX","I",0.025190601523653
"1210","MAX","O",0.0251273863962127
"1209","MAX","I",0.0250728305246248
"1044","MAX","O",0.0250524536724667
"1206","MAX","O",0.0250259535791258
"1043","MAX","I",0.0250049898134486
"1205","MAX","I",0.0249782707582001
"880","NFYA","O",0.0249241379291605
"879","NFYA","I",0.0249218464737234
"1147","MAX","I",0.0249095631208472
"1148","MAX","O",0.0247950296546931
"1088","MAX","O",0.0247520467613822
"1087","MAX","I",0.0247070294918196
"158","ZEB1","O",0.0246983706192679
"213","EP300","I",0.0246975128742169
"157","ZEB1","I",0.024682505173468
"214","EP300","O",0.024653304362209
"326","MAX","O",0.0246264745918754
"911","HDAC2","I",0.0245511181202425
"325","MAX","I",0.0245334347121429
"728","CHD2","O",0.0245223007061497
"912","HDAC2","O",0.0245055326080553
"992","RELA","O",0.0245030062860564
"576","CHD7","O",0.0245027992343953
"716","CHD2","O",0.0244867969828167
"575","CHD7","I",0.0244795311221921
"715","CHD2","I",0.024469767849581
"991","RELA","I",0.0244642192690884
"952","RELA","O",0.0244603926156159
"1097","EP300","I",0.0244314632016783
"1098","EP300","O",0.024425911335569
"951","RELA","I",0.0244179958846812
"273","MAX","I",0.024353460987955
"1228","EP300","O",0.0243445739584142
"274","MAX","O",0.0243433676873896
"1227","EP300","I",0.0243384705308287
"727","CHD2","I",0.0242728280415947
"331","PRDM1","I",0.0241885000285985
"436","TCF7L2","O",0.0241769524748363
"435","TCF7L2","I",0.024173700492873
"332","PRDM1","O",0.0241582697432116
"550","CHD2","O",0.0240959871740229
"1076","CHD1","O",0.0240874064559935
"1075","CHD1","I",0.0240623360997331
"1233","EP300","I",0.0240383983870813
