"","TF","D","W"
"777","ELF1","I",0.0170950603899531
"22","ZEB1","O",0.017095023351254
"551","KDM5A","I",0.0170921108622418
"450","CTCF","O",0.0170801888259225
"831","ARID3A","I",0.0170775842048121
"572","CTCF","O",0.01707321228777
"742","TAF1","O",0.0170562437498896
"1218","CTCF","O",0.0170550385800707
"241","CREB1","I",0.0170463072932912
"556","CTCF","O",0.0170409153838156
"737","CREB1","I",0.0170387920238502
"748","CTCF","O",0.0170288204250809
"231","ELF1","I",0.0170190026694734
"432","CTCF","O",0.01701838858043
"220","CTCF","O",0.0170153031016146
"474","CTCF","O",0.0169833756673355
"837","CHD1","I",0.0169750211126618
"1224","CTCF","O",0.0169746100282863
"958","CTCF","O",0.0169720136517641
"935","ELF1","I",0.0169691234735982
"416","CTCF","O",0.0169627954576278
"277","NFIC","I",0.0169508651455603
"940","CTCF","O",0.0169483089418326
"1220","CTCF","O",0.0169437005094757
"1190","CTCF","O",0.0169426415368863
"434","CTCF","O",0.016938080675218
"1196","MYC","O",0.0169141819929262
"83","SREBF1","I",0.016911787335614
"590","CTCF","O",0.0169069872408879
"765","CUX1","I",0.0169068086655511
"506","CTCF","O",0.0169060224482692
"484","CTCF","O",0.0169029099152536
"1078","TAF1","O",0.016892779821763
"502","CTCF","O",0.0168745711106464
"1232","CTCF","O",0.0168607544827466
"650","CTCF","O",0.0168593788066469
"596","CTCF","O",0.016858895200596
"80","SREBF2","O",0.0168520294974425
"1070","MYC","O",0.0168415521693902
"476","CTCF","O",0.0168382751071193
"949","GTF2B","I",0.0168344327658015
"442","CTCF","O",0.0168311514543606
"548","CTCF","O",0.0167928407271124
"868","MAFK","O",0.0167859896554773
"694","CTCF","O",0.0167750200721489
"1138","CTCF","O",0.0167744573086381
"284","TAF1","O",0.0167626410404351
"876","CTCF","O",0.0167373820145204
"654","CTCF","O",0.0167251194206156
"702","TAF1","O",0.0167111129709051
"1236","MYC","O",0.0167066253580981
"504","CTCF","O",0.0166991903888652
"616","CTCF","O",0.0166892344874938
"438","CTCF","O",0.0166872973586647
"802","MAFK","O",0.0166830377734903
"482","TAF1","O",0.0166514806319936
"799","CREB1","I",0.0166248999599405
"178","TCF12","O",0.0166079897366234
"15","RXRA","I",0.0165986774065458
"944","CTCF","O",0.0165745641702421
"406","CTCF","O",0.0165632404682509
"282","TAF1","O",0.0165400591872596
"520","CTCF","O",0.016533885764096
"554","CTCF","O",0.0165066428055303
"779","YY1","I",0.0164505413410307
"1016","PBX3","O",0.01644781916843
"640","CTCF","O",0.0164326555360393
"1089","USF1","I",0.0164305203958467
"84","SREBF1","O",0.0164245853686073
"345","USF1","I",0.0164139919263871
"842","CTCF","O",0.0164040278142639
"714","CTCF","O",0.0163804648689393
"637","KDM1A","I",0.0163724691638577
"428","TAF1","O",0.0163513058992297
"43","HDAC2","I",0.0163479595699857
"174","REST","O",0.0163182386943834
"1126","CTCF","O",0.0163131104167707
"899","CUX1","I",0.0162673248731486
"690","HCFC1","O",0.0162326015379554
"338","TAF1","O",0.0162139100799562
"744","NFYB","O",0.0161806213301072
"820","STAT3","O",0.0161536611396157
"64","STAT2","O",0.0161336465409012
"381","USF1","I",0.0161115385050165
"1084","MYC","O",0.0160959855467708
"1208","STAT3","O",0.0160929777901489
"154","REST","O",0.0160922211704028
"401","KDM5B","I",0.0160748303773437
"301","SP1","I",0.0160450521880555
"362","CTCF","O",0.0160407615452073
"631","ELF1","I",0.0160300279789808
"1149","USF1","I",0.0159774790974517
"808","HCFC1","O",0.015935989317363
"997","ELF1","I",0.0159137494536185
"212","TCF12","O",0.0159039278103053
"821","MYC","I",0.0158858161533372
"1005","MYC","I",0.0158845180751063
"490","CTCF","O",0.0158627063803095
"1191","MYC","I",0.0158522420168338
"769","BACH1","I",0.0158190398341686
"638","KDM1A","O",0.0158123085502186
"336","CREBBP","O",0.0158120474228619
"1060","HCFC1","O",0.0157973873205097
"1108","HCFC1","O",0.0157973692264597
"578","CTCF","O",0.0157940982330426
"945","MYC","I",0.0157818062590418
"938","KAT2B","O",0.0157792628659516
"268","TAF1","O",0.0157663626708082
"403","BACH1","I",0.0157596415138702
"1094","HCFC1","O",0.0157416721200099
"30","REST","O",0.0156706832136151
"885","MYC","I",0.015652793774391
"1177","YY1","I",0.0156365277652658
"138","REST","O",0.0156215239901776
"846","PBX3","O",0.0155507389570537
"689","HCFC1","I",0.0155350241834874
"464","TAF1","O",0.0155257389575564
"942","CTCF","O",0.0155148720640524
"209","TCF12","I",0.0155068255719943
"98","REST","O",0.015504488333544
"1061","USF1","I",0.0154243486727274
