"","TF","D","W"
"34","JUND","O",0.0885823112004117
"10","JUND","O",0.0862294816198478
"130","JUN","O",0.0807385550186231
"408","JUN","O",0.0787762148418444
"370","JUN","O",0.0764777999544049
"50","JUND","O",0.0749314314195563
"306","JUND","O",0.0746954522452684
"230","JUND","O",0.0742532320565197
"72","JUN","O",0.0734557402130005
"644","JUN","O",0.072321160859655
"226","JUND","O",0.0711121203096057
"1222","JUN","O",0.0710912406128047
"1176","JUND","O",0.0674953378104244
"600","JUND","O",0.0672395728274005
"974","JUND","O",0.0664461293863806
"38","JUND","O",0.0656174197860112
"144","JUND","O",0.0655174314068294
"172","MEF2A","O",0.0623501356895297
"124","JUND","O",0.0606007202620985
"46","MEF2A","O",0.0601690450851678
"24","MEF2C","O",0.0594455517282568
"522","EGR1","O",0.0588598616841228
"202","EGR1","O",0.0579638724659795
"606","EGR1","O",0.0579178943624298
"1174","EGR1","O",0.0578768608951402
"69","STAT1","I",0.057684718284372
"988","EGR1","O",0.0568968239945067
"136","EGR1","O",0.0557510665628031
"47","CEBPB","I",0.0506829878510348
"622","ZBTB7A","O",0.050134457294662
"354","ZBTB7A","O",0.0491001025844258
"410","POU2F2","O",0.048534931748925
"692","POU2F2","O",0.0472740830913988
"148","ZBTB7A","O",0.046393059395113
"111","CEBPB","I",0.0455485369662114
"580","IKZF1","O",0.0454321797745492
"117","CEBPB","I",0.0433392945829184
"150","FOS","O",0.042506535548799
"167","STAT1","I",0.0424189928235639
"3","SUZ12","I",0.0409462598888883
"207","CEBPB","I",0.040138307028293
"1216","FOS","O",0.0394845609024039
"365","CEBPB","I",0.0390395183233911
"1123","CEBPB","I",0.0390334732116973
"684","SPI1","O",0.0388295708589261
"270","FOS","O",0.0387391272570633
"804","FOS","O",0.0385730958087068
"610","FOS","O",0.0381570987065971
"227","CEBPB","I",0.0381113811263987
"206","SPI1","O",0.0378200755774496
"829","STAT1","I",0.0375997352269797
"587","CEBPB","I",0.0375080768141355
"286","SPI1","O",0.0373132050494266
"1116","ZMIZ1","O",0.0372690664964034
"394","ZMIZ1","O",0.0372502030687335
"735","CEBPB","I",0.0371713567572711
"420","SPI1","O",0.0366078223223364
"1203","CEBPB","I",0.0359287897033293
"352","NR3C1","O",0.0355295499833566
"1121","CEBPB","I",0.0353080535758821
"826","ZMIZ1","O",0.0344939721472069
"20","NR3C1","O",0.0340938624023774
"1071","CBX3","I",0.033969642727176
"52","NR3C1","O",0.0324841068457412
"623","CEBPB","I",0.0317942609507618
"774","NCOR1","O",0.0317449182597423
"25","GABPA","I",0.0316761813037526
"344","ATF3","O",0.0308138463754965
"166","CEBPZ","O",0.0305150196816619
"372","ATF3","O",0.0298602296179775
"176","ATF3","O",0.0297656565300161
"1130","FLI1","O",0.0295343010672749
"976","ATF3","O",0.0294114228627508
"388","ATF3","O",0.0292315029303228
"889","MAFF","I",0.0281479548146301
"1229","IRF1","I",0.0277550757440556
"948","CHD7","O",0.0275723201071566
"576","CHD7","O",0.0274687767417747
"411","SAP30","I",0.0271745183146813
"512","NFATC1","O",0.027129859846336
"105","RELA","I",0.0270877722612675
"681","MAFF","I",0.025365512611037
"457","SAP30","I",0.0253057972311559
"592","CCNT2","O",0.0252970765226738
"73","TCF7L2","I",0.0251414575820628
"193","SUZ12","I",0.0244138415588326
"563","SUZ12","I",0.0243527950547976
"651","EP300","I",0.024222247103727
"682","MAFF","O",0.023935935024419
"890","MAFF","O",0.0238124789766109
"936","ELF1","O",0.0226115273727562
"290","RELA","O",0.02251292250077
"778","ELF1","O",0.0225022893429403
"324","YY1","O",0.0224075050069066
"448","YY1","O",0.0222964950547488
"232","ELF1","O",0.0222670366084997
"88","NFIC","O",0.022229557590651
"968","RELA","O",0.022226652175155
"252","ELF1","O",0.0222057552507263
"810","RELA","O",0.0221341244773838
"292","ELF1","O",0.02209515611258
"593","EP300","I",0.0220255505960883
"998","ELF1","O",0.0219290060564592
"407","JUN","I",0.0218853845497623
"992","RELA","O",0.0217605049473071
"1178","YY1","O",0.0217142109388583
"1028","ETS1","O",0.0216768762430622
"736","CEBPB","O",0.0216644133085558
"160","RELA","O",0.021610241537474
"952","RELA","O",0.0215869684784821
"71","JUN","I",0.0215591659915107
"1050","YY1","O",0.0214810521527392
"303","ZKSCAN1","I",0.021472893814175
"256","YY1","O",0.0213856201344998
"1158","YY1","O",0.0213760381800131
"632","ELF1","O",0.0213563655908883
"35","ZZZ3","I",0.0212899238012723
"296","YY1","O",0.0212420776524575
"204","YY1","O",0.0212078880957732
"982","RELA","O",0.0211897303208328
"668","YY1","O",0.0211790874990018
"366","CEBPB","O",0.0211353417273191
"369","JUN","I",0.0211208115258416
"27","CBX3","I",0.0210931751300684
"430","NFIC","O",0.021088817612402
"462","ETS1","O",0.021078955967677
"1074","CHD2","O",0.0210127707059388
"92","NFIC","O",0.0209995671809962
"780","YY1","O",0.0209473575549433
"1020","RELA","O",0.0209332173352681
"966","RELA","O",0.0208415288843845
"1169","GABPA","I",0.020838680676484
"728","CHD2","O",0.020816093972919
"33","JUND","I",0.0207924084742207
"347","GABPA","I",0.0207447451911875
"55","ZKSCAN1","I",0.020693423063884
"828","CHD2","O",0.0206834619650415
