"gene","distance","Z","FC","p.value","p.adj"
"Trem2",0.000106757899215176,11.7983031432112,3097570.40701157,0,0
"Atmin",9.57879106566067e-07,3.700168684306,249.369049078597,3.56445676546286e-56,1.15327998646551e-52
"Chchd10",6.73735588870965e-07,3.29074595914404,123.36731872664,1.15881849162105e-28,2.4995714864266e-25
"Cdkn1c",6.0610718246587e-07,3.17172807652948,99.8435488635741,1.64923685161093e-23,2.66805291669358e-20
"P2ry12",5.87681996504592e-07,3.13733958831922,93.8654834070796,3.37712227887512e-22,4.37067165332018e-19
"Slc22a17",4.99233355951604e-07,2.95819445960358,67.7373711300254,1.86789387638691e-16,2.01452354568329e-13
"Apoo",4.88977243994832e-07,2.93570123447451,64.9828036923999,7.55545406117631e-16,6.98447760426742e-13
"Ttr",4.81393998352831e-07,2.91880950572066,62.9828764793074,2.08511455101469e-15,1.68659703245201e-12
"P2ry13",4.71937860822637e-07,2.89742464528029,60.53280341878,7.23624948032091e-15,5.20286337635073e-12
"Slc2a5",4.51428871396225e-07,2.84975685528857,55.3859756807028,9.90405467909635e-14,6.40891378284325e-11
"Tmem119",4.50657303129678e-07,2.84792772368371,55.1968094838357,1.09045599265037e-13,6.41485520767323e-11
"Selplg",4.369208688985e-07,2.81490717333741,51.8831965812178,5.89023454598526e-13,3.17630897892255e-10
"Rhob",3.90304294627927e-07,2.69581016588039,41.402618440395,1.23891326822682e-10,6.16692904515057e-08
"Acad8",3.87783815510379e-07,2.68903080628448,40.8696112953339,1.62732002064693e-10,7.52170560971878e-08
"Jun",3.81111611315154e-07,2.67090115338731,39.4753063906906,3.32234184818078e-10,1.43325827330519e-07
"Gpr34",3.68740037805857e-07,2.6365558167105,36.9540242984772,1.20947801092314e-09,4.89158263042727e-07
"Vsir",3.62815760173561e-07,2.61975947826422,35.7761362699617,2.21342542163357e-09,8.4253387667005e-07
"Ier5",3.56267298928583e-07,2.60091876302961,34.4963440455177,4.27052686795192e-09,1.50843346514553e-06
"Siglech",3.55900827294896e-07,2.59985566763912,34.4254117450597,4.42902732773375e-09,1.50843346514553e-06
"Sparc",3.47476223755903e-07,2.57515528240933,32.8149188432499,1.01363916150386e-08,3.27962950704574e-06
"Cab39l",3.44944606962086e-07,2.5676328386132,32.3384996592574,1.29521499653546e-08,3.99111249646712e-06
"S100a1",3.44086900973294e-07,2.56507355938835,32.1778800102692,1.40683347472402e-08,4.13800882497233e-06
"Lgmn",3.42969465203102e-07,2.56173109772333,31.9692215079674,1.56634768401032e-08,4.40688515792642e-06
"Morn2",3.38051229419911e-07,2.54690827543893,31.0589083864333,2.50314841006214e-08,6.6563047078275e-06
"Cfap36",3.37766173104577e-07,2.5460435257732,31.0065506109822,2.57159044499595e-08,6.6563047078275e-06
"Acaa2",3.34912632430818e-07,2.53735248038581,30.4848600730025,3.36482231053357e-08,8.37452506594722e-06
"Otulinl",3.31586312281326e-07,2.52714131587568,29.8823217685796,4.590795672101e-08,1.0734029601727e-05
"Ptgs1",3.31460920338715e-07,2.52675467884455,29.8597255771298,4.64461178872439e-08,1.0734029601727e-05
"Serinc3",3.29587452427257e-07,2.52096305180046,29.5231360121639,5.52531895163684e-08,1.23290823917386e-05
"Csf1r",3.28351712174337e-07,2.51712748745442,29.3021656228052,6.19264448553251e-08,1.33575341552936e-05
"Cmtm6",3.13352976087968e-07,2.46956290257041,26.686326541335,2.39309012290781e-07,4.99538264043111e-05
"Cst3",3.02972717928296e-07,2.43549300446449,24.9475667990314,5.89108329308656e-07,0.000119128749967385
"Abi3",3.0152948151666e-07,2.43067739503546,24.7104531736078,6.66218541630035e-07,0.000130639399481453
"Btg2",2.94081381599366e-07,2.40550808430506,23.5047809589111,1.24603746946309e-06,0.000231665785798663
