"gene","distance","Z","FC","p.value","p.adj"
"Trem2",3.68822394641081e-06,9.78021913486293,3373938.49879874,0,0
"Prmt6",5.94508882229084e-08,4.24124362272917,876.635977885883,1.1774771663191e-192,3.83798682361711e-189
"Gm49339",1.58307028686004e-08,2.89051357241457,62.1588527941164,3.16839471883775e-15,6.88492172403442e-12
"Cxcl16",1.37310040603945e-08,2.75542648554795,46.7635191861932,8.00905184449742e-12,1.30527522435697e-08
"Lpl",1.3213698609832e-08,2.71929140675098,43.3063308004561,4.68066651630893e-11,6.10265300396359e-08
"Ch25h",1.31271898071867e-08,2.71312438869316,42.7411423024515,6.24841795448897e-11,6.78890610755226e-08
"Cybb",1.27722452279707e-08,2.68743122849975,40.461044721168,2.00575420671744e-10,1.86793023908442e-07
"Irf7",1.26323384699937e-08,2.67712659771559,39.5794816872461,3.14975295845998e-10,2.56665494202508e-07
"Axl",1.22754383423973e-08,2.65036587163803,37.3746052103039,9.74832175650478e-10,7.06103439229496e-07
"Lgals3",1.22021203581596e-08,2.64478165966952,36.9294810039607,1.22479902074991e-09,7.98446481626867e-07
"Cd72",1.21670380379504e-08,2.64209892754702,36.7174343448226,1.36552745952058e-09,8.09261228055877e-07
"Cd52",1.17132453394834e-08,2.60675386312947,34.0296180948495,5.42795127092921e-09,2.94873452793229e-06
"Cst7",1.11116013220299e-08,2.55793832166872,30.6235755646018,3.13264040571508e-08,1.57089867729666e-05
"Isg15",1.09875214217733e-08,2.54757512342655,29.9434657139675,4.44828412134782e-08,2.0713117276476e-05
"Capg",1.07533230974246e-08,2.52772382535362,28.6805836681731,8.53552501432736e-08,3.70953917122667e-05
"Apoo",1.06525223669351e-08,2.51905940328862,28.1454051649756,1.12534517176507e-07,4.51170727918581e-05
"Itgax",1.06362145321766e-08,2.51765070393484,28.0592961160793,1.17654584669671e-07,4.51170727918581e-05
"Ctsb",1.03424572896865e-08,2.49193598964433,26.530783008391,2.59371984007307e-07,9.39358868746465e-05
"Plin2",1.03116502026921e-08,2.48920118087004,26.3729638717286,2.81452633687955e-07,9.65678799479885e-05
"Ttr",1.0282212198047e-08,2.48658101459094,26.2225981748046,3.04241314967638e-07,9.91674566137015e-05
"Pld3",1.02476390467532e-08,2.4834951353726,26.0465516872114,3.33283575141977e-07,0.000103460744111931
"Cd63",1.01458044296334e-08,2.47435085870841,25.5314551933348,4.35229172838924e-07,0.000128966317169861
"Fth1",1.00864494588427e-08,2.46898280054475,25.2336008364278,5.07895868886519e-07,0.000143955355185705
"Anxa5",1.00100615713058e-08,2.46203220298859,24.8528439549075,6.18776890153267e-07,0.000168075272787881
"Bola2",9.89847635049625e-09,2.45179250002953,24.3018477097935,8.23600211169572e-07,0.000214761991064578
"Cdkn1c",9.65874225278093e-09,2.42943624773947,23.13895541138,1.50706336059435e-06,0.000371735438353215
"AB124611",9.6501582812297e-09,2.42862651075699,23.0978453230055,1.53963135995349e-06,0.000371735438353215
"Spp1",9.53738775511825e-09,2.4179279567526,22.5611625726328,2.03558310619159e-06,0.000473927366759392
"Cd9",9.39831767941992e-09,2.40457613148066,21.9080052870913,2.86038196924686e-06,0.000642994139914492
"Ifitm3",9.36365405725282e-09,2.40122041746399,21.7466976182302,3.11124961090798e-06,0.000676074540450305
"Usp18",9.30229856585288e-09,2.39525315582039,21.4626401621592,3.60789831157439e-06,0.000758706099779144
"Arpc1b",9.26822894700853e-09,2.39192429564564,21.3057144490984,3.91562513152146e-06,0.000797686257262137
"Cd68",9.09625866930717e-09,2.37495115386587,20.5224024060796,5.89374088053979e-06,0.00116428172121936
"Plaur",8.89585854783998e-09,2.3548030049184,19.6281031949758,9.40752430402015e-06,0.00180375443935022
"Acaa2",8.82937674719106e-09,2.34802846401839,19.3358243529284,1.09630081526365e-05,0.00204193857562963
"Igf1",8.81266383759201e-09,2.34631817194435,19.2626930221718,1.13910530738836e-05,0.00206272986079575
"Apoe",8.79975799140905e-09,2.34499546750454,19.2063152177571,1.17324614856144e-05,0.00206713287634379
"Slamf8",8.77866346893246e-09,2.34282974395754,19.114343951292,1.2311610888151e-05,0.00210509435547371
"Ccl6",8.76872772995445e-09,2.34180803924381,19.0711009999204,1.25937536222541e-05,0.00210509435547371
"Vat1",8.75435623470613e-09,2.34032835113935,19.0086391139765,1.30127956355189e-05,0.00212076036869869
"Cyba",8.70233358275284e-09,2.33495372016017,18.783393170733,1.46436675885823e-05,0.00232834314658458
"Fxyd5",8.59294837647719e-09,2.32355759752588,18.3141598631361,1.8730974314991e-05,0.00290731479903396
"Ctsz",8.56558655672539e-09,2.32068649893192,18.1977130047453,1.99117792811018e-05,0.00301871835194193
"Cab39l",8.47656242227661e-09,2.31128753800926,17.8214125763356,2.42637278410319e-05,0.00359489185899289
"Tyrobp",8.41502913251619e-09,2.30473882112876,17.5636123458524,2.77854559785986e-05,0.00402518638943298
"Npc2",8.38536863648325e-09,2.30156674495691,17.4400174404584,2.96517323317139e-05,0.00420216615370529
"Acad8",8.35549011346613e-09,2.29836110374366,17.3159552477625,3.16518075858112e-05,0.00439017305642347
"Dbi",8.33717318061865e-09,2.29639078011669,17.2401182761629,3.29406360821142e-05,0.00447375013790214
"S100a1",8.29051361118826e-09,2.29135398823116,17.0476872226416,3.64527447956433e-05,0.00484970292495508
"Ifit3",8.28085055158728e-09,2.29030768872133,17.0079703069634,3.72232364802664e-05,0.00485316557229714
"Lrpap1",8.24009059373596e-09,2.28588211632131,16.8409492969287,4.06467057820969e-05,0.00519560539202921
"Slc22a17",8.18451589620471e-09,2.27981609185897,16.6145502072027,4.57983200124657e-05,0.00574152400310123
"Ifi27l2a",8.13603172273673e-09,2.27449358546665,16.4182877107591,5.07928185244666e-05,0.0062475166785094
"Lyz2",8.04767049754783e-09,2.26471944337797,16.0636032161671,6.12500230703764e-05,0.00728123747779173
"Rplp0",8.04627167883268e-09,2.26456393523153,16.0580194597291,6.14309037089347e-05,0.00728123747779173
"Cstb",7.9957926889415e-09,2.25893575202926,15.8571686874951,6.83072833007905e-05,0.00795169963996167
