"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Eef1b2",3.26708711503339e-21,0.20330016331912,0.989,0.999,1.79366349702448e-16
"Pir",3.37063851899802e-21,0.0315584726440613,0.099,0.147,1.8505142533151e-16
"Gm42735",3.42292451631366e-21,-0.00349455068632561,0.042,0.103,1.87921978870137e-16
"Actr5",3.60210314002544e-21,0.0114427735086594,0.075,0.128,1.97759064490536e-16
"Insc",3.76552579604563e-21,0.02475506791239,0.111,0.171,2.06731131728701e-16
"Mogat2",3.92813777767479e-21,-0.0176069377155979,0.053,0.138,2.15658692132123e-16
"C2cd2",3.94801778793031e-21,-0.00651454344778256,0.072,0.161,2.16750124575162e-16
"Dusp18",4.06220290873117e-21,-0.0150689543574328,0.034,0.108,2.2301900189225e-16
"Zbtb17",4.17590051256049e-21,0.00719329309697746,0.072,0.137,2.29261114040084e-16
"Cep70",4.2731212392797e-21,0.0206143060087777,0.071,0.115,2.34598629157695e-16
"Per3",4.40374813067014e-21,0.00625140043587337,0.055,0.113,2.41770176121921e-16
"Lrp4",4.85356051183406e-21,-0.00768029483389463,0.038,0.101,2.66465325660202e-16
"Hemk1",4.93811463105698e-21,0.0143300879460592,0.069,0.124,2.71107431359659e-16
"Sik3",4.97325735805206e-21,0.0154484297408401,0.081,0.161,2.73036802214416e-16
"Alyref2",5.01413461841115e-21,0.00799886169375864,0.056,0.11,2.75281004685391e-16
"Lsm14b",5.25249958801929e-21,-0.0123145436757598,0.047,0.123,2.88367479881847e-16
"H2afj",5.43973396050186e-21,0.162694996752697,0.975,0.999,2.98646834165513e-16
"9130410C08Rik",5.45247732562825e-21,-0.00237352094467946,0.047,0.103,2.99346457654316e-16
"Abcb6",5.57407674247172e-21,-0.00242320005979612,0.052,0.118,3.0602238723844e-16
"4930415O20Rik",5.63145704979114e-21,0.00583909029359084,0.089,0.155,3.09172623490583e-16
"A430027C01Rik",5.92691255296147e-21,-0.00884538463575485,0.038,0.101,3.25393426070137e-16
"Gm16014",5.93092050479166e-21,-0.00489283115435282,0.048,0.118,3.25613466633567e-16
"Gm38066",6.28301400033949e-21,0.00244940112728204,0.074,0.141,3.44943751632638e-16
"Dpf3",6.45617478874521e-21,-0.00864215686813349,0.039,0.101,3.54450452076901e-16
"Fpgs",6.53725295363483e-21,0.0153584166353881,0.107,0.167,3.58901724407506e-16
"Bid",6.65608663089655e-21,0.00790093609738887,0.056,0.115,3.65425812122852e-16
"Gng12",6.82323525663304e-21,-0.0591978611667319,0.836,0.964,3.74602438824411e-16
"Ncald",7.25840995796462e-21,-0.0479337149960891,0.132,0.251,3.98493965102216e-16
"Fam185a",7.45540342626981e-21,0.00936662649489325,0.058,0.11,4.09309103505639e-16
"Sptbn1",7.45629833891329e-21,-0.0857789630266448,0.895,0.991,4.09358235104678e-16
"H2afz",7.60268579930426e-21,0.129710746428635,0.901,0.963,4.17395053067603e-16
"Mcm7",7.64385413770297e-21,0.0238103579955017,0.13,0.192,4.19655236014031e-16
"Ctse",7.68411783459834e-21,-0.0018385332568369,0.088,0.165,4.21865753237284e-16
"Gm48996",7.83428657005953e-21,-0.0103571371466589,0.045,0.114,4.30110166982838e-16
"Arsk",8.49104211015383e-21,-0.0183489604216263,0.045,0.125,4.66166702889555e-16
"2810408A11Rik",8.76044395788881e-21,-0.0032663391300333,0.061,0.127,4.80957133732054e-16
"Capn13",9.45158611185493e-21,-0.0654776270000316,0.053,0.164,5.18901529126948e-16
"Wnt5a",9.54290522837788e-21,0.00201071311039722,0.051,0.104,5.23915039943174e-16
"Pdia6",9.5765924988636e-21,-0.038796489112336,0.743,0.892,5.2576450478011e-16
"Lpcat4",9.58917550833745e-21,-0.0283596957245468,0.04,0.132,5.26455324583234e-16
"C730045M19Rik",9.90208325600807e-21,0.00783593763576738,0.052,0.101,5.43634272838099e-16
"Prr13",9.90537570451326e-21,-0.0814734649051443,0.867,0.98,5.43815031553483e-16
"Gab2",1.00460544658474e-20,0.00659184119300798,0.058,0.125,5.5153843622949e-16
"Nans",1.04109982471607e-20,0.0864462776396862,0.845,0.936,5.7157421476737e-16
"Gm10138",1.05902289206129e-20,-0.0109804112716793,0.061,0.144,5.81414157970568e-16
"Tipin",1.09102618933019e-20,0.0279892591510882,0.087,0.134,5.98984288204165e-16
"Fam118a",1.11088344339855e-20,-0.00814676890360693,0.04,0.103,6.09886119260238e-16
"Fosb",1.11660227400028e-20,0.154195135684292,0.448,0.506,6.13025814448892e-16
"Tef",1.13741081748593e-20,0.00530547899719538,0.06,0.121,6.24449912907948e-16
"Adpgk",1.20209597463972e-20,-0.0133417195820629,0.06,0.138,6.59962711036955e-16
"Rpl9-ps6",1.21640009070432e-20,0.0419146256795631,0.08,0.108,6.67815813797579e-16
"Smc2",1.21956715268435e-20,-0.00435211172965665,0.069,0.137,6.69554562495235e-16
"St3gal5",1.27892889909879e-20,-0.0432571751066482,0.026,0.108,7.02144754894228e-16
"Gm44432",1.28878387421104e-20,0.00556742450722968,0.063,0.118,7.07555234780601e-16
"Saa1",1.30740464540408e-20,0.38226480100343,0.144,0.281,7.17778224373294e-16
"Sstr1",1.34946741671553e-20,0.00093690434101304,0.059,0.123,7.40871106450995e-16
"Taf8",1.35872186083782e-20,-0.00496528024266962,0.06,0.13,7.45951888818574e-16
"Gm5485",1.38279832703465e-20,0.0598104068170791,0.782,0.896,7.59170109525291e-16
"Eif2s2",1.40397577271237e-20,-0.187153272708992,0.964,0.996,7.7079673897682e-16
"D3Ertd254e",1.40430294605555e-20,-0.00961916689267175,0.057,0.13,7.7097636041396e-16
"Prdm15",1.41971237063366e-20,-0.0122878676890847,0.045,0.115,7.79436288601586e-16
"Srsf3",1.44157427295397e-20,0.0609527338472011,0.887,0.972,7.91438691594457e-16
"Kyat3",1.48193276456355e-20,0.00377490299993812,0.056,0.107,8.13595907073034e-16
"Edn1",1.54716621078148e-20,0.0405921371316442,0.267,0.377,8.4940972138114e-16
"Rdh16",1.56334712665391e-20,-0.0126474352737822,0.063,0.157,8.58293206004263e-16
"Prdx1",1.61049406522019e-20,0.176976954371586,0.99,0.999,8.84177346746535e-16
"Endov",1.61536787858001e-20,0.0337914951883171,0.077,0.104,8.86853119019213e-16
"Mthfd1l",1.61692264283472e-20,-0.0161022863204537,0.057,0.138,8.87706700142688e-16
"Tnfsf10",1.61993398684746e-20,-0.0270357404062941,0.045,0.132,8.89359958119126e-16
"Gipc2",1.62281223472911e-20,-0.0011485472178645,0.902,0.991,8.9094014498863e-16
"Pglyrp1",1.64144587802791e-20,0.0743359698403885,0.905,0.977,9.01170201496102e-16
"Vcp",1.68816664906116e-20,-0.0234529679767117,0.87,0.979,9.26820372001067e-16
"Tbl2",1.73546885607977e-20,-0.00217323636480676,0.052,0.113,9.52789756676355e-16
"Acadl",1.74943608354163e-20,-0.00527366563545484,0.828,0.952,9.60457904225189e-16
"Ldhd",1.78247509486376e-20,-0.00334038924401846,0.044,0.101,9.78596651831153e-16
"Cdo1",1.78523891254332e-20,0.00604324479579424,0.125,0.202,9.80114015375408e-16
"Sgsh",1.80383944507447e-20,-0.0142811036426515,0.04,0.111,9.90325893740335e-16
"Dclre1a",1.87411202007252e-20,-0.00642064441931772,0.059,0.131,1.02890624014001e-15
"St3gal3",1.90607685420349e-20,0.00535058818607853,0.122,0.197,1.04645525372626e-15
"Rdh5",1.93655083837299e-20,-0.00310753857255879,0.039,0.101,1.06318577577516e-15
"Ceacam1",2.07116387256044e-20,-0.214635270100413,0.972,1,1.13708967767441e-15
"Orc6",2.1027703699679e-20,0.0172793664596044,0.105,0.177,1.15444196081607e-15
"Mllt11",2.12760766034247e-20,0.005853800305952,0.059,0.115,1.16807788160462e-15
"Mgme1",2.15561965495016e-20,-0.00890461395883788,0.053,0.13,1.18345674676419e-15
"Cdt1",2.2280172603695e-20,-0.0167860602456813,0.062,0.145,1.22320375611546e-15
"Gm37747",2.29741960170396e-20,0.0227039510596729,0.085,0.135,1.26130633553149e-15
"Acrbp",2.38585438808417e-20,-0.00713136830918824,0.045,0.11,1.30985791760209e-15
"Ptges3l",2.40126524806349e-20,0.0111461552523876,0.07,0.118,1.31831863383934e-15
"Pycard",2.46176168273158e-20,0.204473256715452,0.983,0.989,1.35153178143647e-15
"Mapkapk5",2.4876771013644e-20,-0.0179891799644825,0.033,0.104,1.36575960542007e-15
"Nav2",2.51271912079301e-20,-0.00640337383921463,0.085,0.17,1.37950792450657e-15
"Brms1l",2.54107865095567e-20,-0.00637970459079082,0.054,0.123,1.39507759016117e-15
