"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Lmf1",8.47884086383764e-118,-0.00928456025710556,0.232,0.432,4.6549684226555e-113
"Lztfl1",8.85471700510832e-118,0.00163597661587001,0.267,0.468,4.86132818297452e-113
"Ttc39b",8.87061728471392e-118,-0.0390581559384715,0.255,0.488,4.87005759548079e-113
"Sord",9.21070504453188e-118,-0.115027201134904,0.678,0.92,5.05676917649845e-113
"Pias1",9.35630020233483e-118,-0.0364341784991522,0.203,0.424,5.13670237408384e-113
"Ccnk",9.69802602205264e-118,-0.03189922359487,0.224,0.443,5.32431326636712e-113
"Plekha3",1.1013050904929e-117,-0.0104703531924065,0.222,0.425,6.04627507731507e-113
"Atp6v0b",1.14706763705236e-117,0.0501954160583602,0.701,0.888,6.29751603418119e-113
"Ints10",1.1731609955022e-117,-0.0226152860980359,0.285,0.505,6.44077118140666e-113
"Rnf103",1.24123555625497e-117,0.00246407974900342,0.26,0.461,6.81450732739542e-113
"Adam9",1.25019898301279e-117,-0.0249623726083688,0.247,0.465,6.8637174366385e-113
"Clip1",1.30353400404619e-117,-0.0249970060519605,0.272,0.492,7.15653203561397e-113
"Atic",1.31603028745362e-117,-0.0172327807783024,0.646,0.867,7.22513788114912e-113
"Aldh1b1",1.33456704259898e-117,-0.12179928910538,0.592,0.858,7.32690652057267e-113
"Ubr5",1.34369666536633e-117,-0.0132032456530708,0.503,0.737,7.37702906252769e-113
"Akt1",1.36067252878976e-117,-0.0233551690386556,0.62,0.85,7.47022825030868e-113
"Ranbp2",1.36970551531841e-117,-0.0497963738816261,0.459,0.709,7.51982024964959e-113
"Idnk",1.37988541204027e-117,0.0342706693048038,0.377,0.556,7.57570890064227e-113
"Exoc7",1.41613168511793e-117,0.0128565909610848,0.323,0.518,7.77470456446595e-113
"Larp1b",1.46502089789946e-117,0.0456022479009092,0.57,0.763,8.04311123155783e-113
"Rasa2",1.73004622595784e-117,0.0212913477719068,0.354,0.553,9.49812678513113e-113
"Swap70",1.78057384377715e-117,0.00483138714051778,0.313,0.525,9.77552845972093e-113
"Slc25a28",1.78072114824144e-117,-0.0140012274699101,0.307,0.525,9.77633717596031e-113
"Nbeal1",1.80277229630778e-117,-0.0126942047487228,0.426,0.661,9.89740018395934e-113
"Fignl1",1.86481237036635e-117,-0.046465804829066,0.228,0.448,1.02380063945483e-112
"Ndufs4",1.92283381724984e-117,0.116671030812656,0.809,0.937,1.05565499400834e-112
"Dgkz",2.04194453957992e-117,-0.0143617926760395,0.553,0.784,1.12104797167477e-112
"Cmc2",2.07190659481289e-117,-0.00274352784214527,0.455,0.672,1.13749743961823e-112
"Psd3",2.10242266591565e-117,-0.0232274300858706,0.277,0.499,1.15425106781435e-112
"Scarb2",2.25278262951291e-117,-0.0356055752602739,0.444,0.689,1.23680019142888e-112
"Ap2a1",2.33673137167502e-117,-0.0202834617449309,0.272,0.487,1.2828888903633e-112
"Tmem94",2.53384728674486e-117,-0.0554903142515216,0.187,0.42,1.3911074988958e-112
"Snrpa",2.54466628511101e-117,0.00382866662167414,0.66,0.872,1.3970472371888e-112
"Qser1",2.63157065097571e-117,-0.0242969962568133,0.254,0.467,1.44475860309218e-112
"Abr",2.72800112525204e-117,-0.0493781935835161,0.28,0.522,1.49769989777462e-112
"Tor1aip1",2.80571162463376e-117,-0.0443874778877916,0.234,0.462,1.54036373904018e-112
"Capn2",3.01032772059592e-117,-0.106689007405001,0.071,0.297,1.65270002188437e-112
"Gid8",3.10817464312824e-117,0.00774501747860712,0.364,0.567,1.70641896082384e-112
"Stau1",3.23561316336681e-117,-0.0336989003797665,0.22,0.435,1.77638398282001e-112
"Isy1",3.62900356204561e-117,-0.0433331768328812,0.323,0.56,1.99235924559866e-112
"Nedd9",3.96799779041339e-117,0.00132552799091312,0.291,0.497,2.17847046691485e-112
"Rpl28-ps1",4.05139354727231e-117,0.0257263000457839,0.289,0.478,2.22425557138797e-112
"Csnk1g3",4.08342371880068e-117,-0.0353041787040302,0.357,0.594,2.24184045585876e-112
"Fance",4.14641825031602e-117,-0.00844948108492227,0.242,0.44,2.276425083606e-112
"R3hdm4",4.24128363148557e-117,0.0405240979084406,0.725,0.91,2.32850712652189e-112
"Tmem234",4.27720815892436e-117,0.0361510875538446,0.771,0.946,2.34823005133107e-112
"Ormdl2",4.31194574726683e-117,0.00504728278411715,0.684,0.889,2.36730133470696e-112
"Ap1g2",4.31304779501274e-117,-0.00444933905676115,0.246,0.437,2.36790636993995e-112
"Lsm1",4.34753730193683e-117,-0.0073430641500995,0.307,0.521,2.38684145413634e-112
"Ecd",4.36272099328976e-117,-0.0351757465404438,0.25,0.473,2.39517745252601e-112
"Polr1a",4.7767262150983e-117,-0.0163539427870959,0.257,0.467,2.62247045935112e-112
"Mrpl38",4.99020065056443e-117,-0.00711724574661243,0.659,0.873,2.73967005916638e-112
"Mapre1",5.08065778057779e-117,-0.0412055239306954,0.615,0.851,2.78933192811501e-112
"Spata2",5.2135163668079e-117,-0.0234214849368104,0.262,0.486,2.86227262054121e-112
"Prmt3",5.23262285591771e-117,-0.00662896303964189,0.288,0.495,2.87276227412738e-112
"Gan",5.5306976739534e-117,-0.0192494202718829,0.217,0.424,3.03640832997716e-112
"Rbm15",6.54556781668556e-117,-0.0374320448335849,0.263,0.49,3.59358218703854e-112
"Uba3",6.55379758846549e-117,-0.0302024461690367,0.292,0.52,3.59810041404344e-112
"Uso1",6.77894599759784e-117,0.00543278349447324,0.3,0.505,3.72170914214119e-112
"Mtmr2",7.27619865964451e-117,-0.00641344112507167,0.231,0.435,3.99470582613144e-112
"Yars",7.39749416492866e-117,-0.0103031867234032,0.292,0.5,4.06129827148748e-112
"Nsd2",7.72592921566283e-117,-0.0578693434767055,0.528,0.78,4.24161239869105e-112
"Golgb1",7.93459801596545e-117,0.0318094369279792,0.605,0.818,4.35617365674519e-112
"Ddx52",8.0441550625575e-117,-0.0187217746639113,0.315,0.54,4.41632157089469e-112
"Zfp800",8.13920260614692e-117,-0.0213032437400037,0.337,0.57,4.46850362280072e-112
"Wdr5",8.37855129283546e-117,-0.0404712725608785,0.257,0.488,4.59990844527959e-112
"Ctsz",8.96058279451914e-117,0.00408927829497918,0.725,0.918,4.91944956001895e-112
"Wdr3",9.00657547204695e-117,-0.0565018057531141,0.21,0.441,4.9446999999085e-112
"Gmpr2",9.06720855195055e-117,-0.00928831731428356,0.255,0.458,4.97798816710637e-112
"Sfxn1",9.18897063716137e-117,-0.0458086972845221,0.687,0.912,5.04483676950796e-112
"Chmp6",9.5594055996956e-117,-0.00418585292493001,0.458,0.681,5.24820926828888e-112
"Ap4s1",9.69883455581182e-117,0.0555115980196698,0.316,0.466,5.32475715948625e-112
"Dhx16",9.84736391372112e-117,-0.0225320024560489,0.259,0.475,5.40630126227203e-112
