"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Tubal3",1.33853797740566e-05,-0.00901440297838405,0.076,0.135,0.734870734975483
"Ripk2",1.34059019494796e-05,-0.0280298091216548,0.099,0.171,0.73599742292838
"Nr1h4",1.34316104207899e-05,-0.0172435880862274,0.196,0.28,0.737408843711787
"Fam192a",1.35315540796926e-05,0.0136789830597519,0.406,0.489,0.742895850529203
"Commd7",1.35824350453606e-05,0.0491562042362116,0.496,0.568,0.745689266425344
"Med19",1.35922317520844e-05,-0.0421643273756818,0.452,0.556,0.746227115421185
"Timm22",1.35930826227075e-05,-0.0883226986771858,0.415,0.523,0.746273829069265
"Uqcc3",1.37863735795421e-05,0.00385652017220495,0.532,0.613,0.75688569589044
"Gart",1.38437436168503e-05,-0.0524172342257168,0.452,0.548,0.760035368308696
"Tead1",1.38656078161949e-05,-0.0413422529395985,0.246,0.337,0.761235734716917
"Tfpi",1.40122832928366e-05,0.0539155369001016,0.143,0.076,0.769288365060023
"Tmem176a",1.40522725191313e-05,0.0158898188959654,0.615,0.681,0.771483813572825
"Lman1",1.41073400815199e-05,-0.0607407654021611,0.479,0.585,0.774507077815525
"Zfp106",1.4191799401552e-05,-0.0930628003507711,0.512,0.618,0.779143978944606
"Slc35g1",1.42516028651336e-05,-0.0573038562847846,0.458,0.559,0.782427248898699
"Tpm1",1.43575770823373e-05,-0.0943437190151519,0.778,0.848,0.788245339397401
"Hmgb2",1.43860763398966e-05,-0.162067010280463,0.786,0.852,0.789809977136665
"Cdx1",1.44283190447285e-05,-0.0566303892737834,0.769,0.85,0.79212914387464
"Cep19",1.44899581370816e-05,-0.0121400799384057,0.203,0.288,0.795513191683915
"Ier2",1.4531600478717e-05,0.116439920949331,0.777,0.808,0.79779939788204
"Laptm4b",1.45451606315105e-05,-0.00291821464758291,0.459,0.548,0.798543863830561
"Noxa1",1.45488204879149e-05,-0.0656034648739573,0.504,0.607,0.798744793607016
"Arid1a",1.45589231919555e-05,-0.0151608031930789,0.497,0.595,0.799299442161548
"Utp6",1.45691427046504e-05,-0.0210632148078899,0.21,0.295,0.799860503628013
"Kdelc2",1.4604625260129e-05,-0.0511868962110181,0.152,0.237,0.801808531406345
"Tmem246",1.46380915240957e-05,-0.0550447686499031,0.265,0.362,0.803645862764377
"Gtf2ird1",1.4696659922774e-05,-0.0376718924710943,0.295,0.389,0.806861326420218
"Uaca",1.47231039746576e-05,-0.104727033060487,0.405,0.512,0.808313131312676
"Atad3a",1.47526151789652e-05,-0.0615854183816694,0.536,0.64,0.809933325940369
"Pmpca",1.48070549705724e-05,-0.0844125452959735,0.402,0.509,0.812922124939393
"Mocs2",1.48393054570832e-05,-0.0335427585389637,0.457,0.561,0.814692708899326
"Prr15l",1.4938916857467e-05,0.0706326055967037,0.638,0.713,0.820161474391795
