"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Brix1",0.414239079394517,0.0404916496797416,0.27,0.306,1
"Cops3",0.414522928226785,0.0408349745588009,0.426,0.494,1
"Tmem184b",0.41461326986869,-0.0907091336005106,0.139,0.153,1
"Cdcp1",0.414810694224971,-0.0298234246693519,0.246,0.318,1
"Trappc2",0.415238635713242,0.102436371536939,0.172,0.118,1
"Pam16",0.415468744564617,0.108626333813532,0.516,0.518,1
"Itsn1",0.415542851548204,-0.0978118571251568,0.131,0.188,1
"Iqgap2",0.415766686951762,0.133105126258767,0.221,0.176,1
"Zfyve1",0.415932400834989,-0.0522583592116658,0.074,0.129,1
"Lsm7",0.415941053412757,-0.154811560637953,0.344,0.435,1
"Ss18",0.416022336841663,-0.0625908439214987,0.344,0.435,1
"Mboat7",0.416225483388516,-0.0738482443950806,0.107,0.165,1
"Aqr",0.416394696253951,0.0523827093073688,0.221,0.294,1
"Nom1",0.416560405031045,-0.100230394767842,0.221,0.259,1
"Pcsk7",0.416725972576345,-0.135157580631823,0.213,0.282,1
"Coq8b",0.41673328824173,-0.0760193309012002,0.131,0.2,1
"Wdr24",0.416945864998971,-0.0202482748012424,0.09,0.141,1
"Impad1",0.417035256917507,0.0230368820162041,0.377,0.424,1
"Ubac2",0.417155858035501,0.141990033070641,0.279,0.247,1
"Uqcc2",0.417192669789755,0.0476456816953468,0.631,0.694,1
"Spag7",0.417346065340927,0.0660215481721846,0.303,0.341,1
"Nhlrc3",0.417405902277506,-0.0473658286857045,0.107,0.094,1
"Dusp28",0.417524634757855,0.00840611983156157,0.139,0.094,1
"Nup205",0.417622184665866,-0.0178443476961481,0.131,0.2,1
"Lbr",0.417757677151605,0.00410080002333013,0.18,0.247,1
"Ugcg",0.417918287644996,-0.107274782924936,0.172,0.247,1
"Agfg1",0.417981888664647,-0.0844189003008742,0.172,0.247,1
"Rbbp5",0.418148233198308,-0.0134517631700948,0.074,0.129,1
"Trak2",0.418676232540587,-0.121543107513377,0.098,0.153,1
