"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rack1",1.25273403425512e-15,0.061052474957294,0.99,0.994,6.87763512146404e-11
"Fam83g",1.26463185184192e-15,-0.00166932362014657,0.16,0.203,6.94295532979732e-11
"Zbtb6",1.30208662879255e-15,-0.00141529392846931,0.126,0.17,7.148585800734e-11
"Casc4",1.33330769251875e-15,0.0732552501211954,0.313,0.322,7.31999256269718e-11
"Mars2",1.35427615579005e-15,-0.0261668075840402,0.069,0.122,7.43511152290293e-11
"Dnase2a",1.35987185857e-15,-0.0367207821688733,0.173,0.242,7.46583249073516e-11
"Chd1l",1.36229673923287e-15,-0.00738371290327089,0.105,0.15,7.47914532806235e-11
"Gemin2",1.36287439339366e-15,-0.00114999988498693,0.14,0.181,7.48231670717053e-11
"Ppp1r15a",1.39220318456395e-15,-0.0137728190190515,0.184,0.245,7.64333470357455e-11
"Rgs3",1.39233173953996e-15,0.00241684920506087,0.149,0.193,7.64404048324834e-11
"Ostm1",1.41579833729149e-15,-0.0029040034811546,0.115,0.155,7.77287445156399e-11
"Dnaja4",1.42915604142955e-15,0.00109746297021047,0.116,0.151,7.84620958305238e-11
"Brpf1",1.45757788388557e-15,-0.00625318130166508,0.147,0.199,8.00224834032016e-11
"Uba7",1.45764300390946e-15,-0.00129396842035673,0.117,0.162,8.00260585576331e-11
"Otud6b",1.463013295395e-15,-0.0133370887530819,0.185,0.245,8.03208929304811e-11
"Atg2b",1.46385098727245e-15,-0.00547099149670736,0.123,0.168,8.03668830522449e-11
"Wfs1",1.48626153294131e-15,0.0136263172655926,0.138,0.163,8.1597244420011e-11
"Ywhae",1.48749238597548e-15,-0.00792547914956487,0.906,0.954,8.16648194824395e-11
"Uqcrc1",1.48928845799282e-15,0.0407592694173295,0.911,0.948,8.17634256322638e-11
"Phf6",1.49874130014557e-15,-0.0151266986891292,0.122,0.175,8.2282396119292e-11
"Dcaf17",1.50314991520983e-15,-0.00559309899236526,0.19,0.244,8.25244334949346e-11
"Dcp1b",1.50364234584842e-15,-0.013695444291095,0.142,0.201,8.25514684294241e-11
"Rpa3",1.50415931470853e-15,-0.0839947228193056,0.196,0.274,8.25798505368127e-11
"B3galt4",1.50842070686447e-15,0.0139135252609185,0.176,0.209,8.28138052275662e-11
"Ikbkg",1.51096804078255e-15,-0.00247942308936699,0.149,0.196,8.29536564070028e-11
"Pomgnt1",1.51836150617451e-15,0.00676095580815669,0.185,0.23,8.33595650504867e-11
"Psmd9",1.54407694574599e-15,0.00266057320371851,0.267,0.313,8.47713683984007e-11
"Fam45a",1.54960835188765e-15,-0.00891202027676322,0.174,0.23,8.50750481269839e-11
"Sec11c",1.54970604512461e-15,0.0832766290331166,0.942,0.963,8.50804115833862e-11
"Tpst2",1.57081411768514e-15,-0.00452302323173119,0.151,0.2,8.62392658750319e-11
"B4galt6",1.59558481348954e-15,-0.0236064197575326,0.106,0.163,8.75992018453892e-11
"Tatdn2",1.59756483205475e-15,-0.00802891133674741,0.161,0.211,8.77079068446377e-11
"Nob1",1.60877066992243e-15,-0.0123165784609345,0.147,0.202,8.83231185494116e-11
"Leng1",1.65301626197297e-15,0.00845280195239917,0.162,0.198,9.07522457985778e-11
"Mgmt",1.66483925666661e-15,-0.000548324033734601,0.14,0.181,9.14013400302537e-11
"E130308A19Rik",1.6930516073487e-15,-0.0164794075435762,0.108,0.159,9.29502262950512e-11
"Sema5a",1.69309002924732e-15,-0.0199629617212408,0.232,0.293,9.29523356957072e-11
"Gm17669",1.69647755849946e-15,0.0648852359257474,0.4,0.414,9.31383144391789e-11
"Nt5dc3",1.69775325325508e-15,-0.0134767170800298,0.067,0.108,9.32083513569569e-11
"Edc3",1.71827031147109e-15,-0.0168758138490699,0.139,0.195,9.43347583700742e-11
"Ppp2r3d",1.74779541480317e-15,-0.00424222570773392,0.253,0.313,9.59557160681089e-11
"Fbxo34",1.75018419620888e-15,-0.00545693076430318,0.14,0.187,9.60868625560638e-11
"Sephs1",1.78717689474636e-15,-0.00155388016930399,0.187,0.235,9.81177986984699e-11
"Slc22a1",1.81119460002385e-15,0.0245026113313991,0.162,0.181,9.94363947359096e-11
"Ankrd9",1.8429089247774e-15,0.0116721516780562,0.136,0.164,1.01177542879204e-10
"Smc5",1.87690941524271e-15,-0.0214216408271825,0.142,0.201,1.0304420380624e-10
"Phf2",1.88182125519765e-15,-0.00535542953559065,0.157,0.207,1.03313868731606e-10
"Trmt2a",1.88768214695895e-15,0.00362941772357692,0.167,0.207,1.03635637550193e-10
"Cebpd",1.90907197415773e-15,-0.0222993525764254,0.133,0.191,1.04809960453234e-10
"Glt8d1",1.91448974016188e-15,0.0162364986408699,0.188,0.217,1.05107401224627e-10
"Parp6",1.92230897607061e-15,-0.0108108750675971,0.103,0.148,1.05536685095253e-10
"Lrrc40",1.93504562092544e-15,0.0020199570006422,0.124,0.16,1.06235939634428e-10
"Yeats2",1.95770164621576e-15,-0.0200781279062731,0.152,0.213,1.07479778078891e-10
"Lgals3bp",1.96329817543998e-15,0.00701812892728082,0.285,0.329,1.07787033129831e-10
"Cic",1.96706067829373e-15,-0.00433603025179397,0.165,0.214,1.07993598299004e-10
"Pip5k1a",1.98588970959624e-15,-0.0153178549680604,0.182,0.241,1.09027330946543e-10
"Stk17b",1.99581602959928e-15,-0.006543517454978,0.13,0.175,1.0957229584103e-10
"Cep44",2.00899942998075e-15,0.00303548964335969,0.143,0.182,1.10296077705373e-10
"Nfya",2.07802556980072e-15,-0.0266414548556997,0.094,0.15,1.14085681807629e-10
"Gins4",2.0908293875627e-15,-0.00366483519404284,0.202,0.251,1.1478862420658e-10
"Bmp2",2.1133666888174e-15,-0.0430366215703551,0.089,0.147,1.16025944582764e-10
"Dnajc12",2.12769657342352e-15,-0.0076194933041541,0.206,0.258,1.16812669577524e-10
"E2f2",2.12777190396413e-15,0.000156637881437494,0.105,0.143,1.16816805299535e-10
"Tada1",2.1473338072414e-15,-0.0222371187388727,0.161,0.222,1.1789077335136e-10
"Tpk1",2.15093963634029e-15,-0.0171420317381591,0.135,0.192,1.18088736974718e-10
"Arhgef18",2.16619256902113e-15,-0.00402761447779613,0.125,0.169,1.18926138231829e-10
"Trim11",2.18196076641638e-15,-0.0123532404230838,0.139,0.191,1.19791828037026e-10
"Mtm1",2.19989025656705e-15,-0.0138179565346656,0.154,0.209,1.20776174975787e-10
"Mtmr12",2.22283931262294e-15,0.00541816818545487,0.132,0.175,1.22036101102312e-10
"Mad2l2",2.22435623926277e-15,0.000182046412598239,0.115,0.157,1.22119381891765e-10
"Cpne2",2.2395739130493e-15,-0.00757104358907626,0.154,0.206,1.2295484740032e-10
"Hipk2",2.25616867776242e-15,-0.00235321244788431,0.194,0.241,1.23865916577835e-10
"Dhx30",2.27176610654629e-15,-0.0133661010038307,0.194,0.253,1.24722231015498e-10
"Mterf4",2.2916656055445e-15,0.00991956240548031,0.164,0.201,1.25814733409999e-10
"Paxx",2.39096014599276e-15,0.0208738771766095,0.245,0.274,1.31266102975148e-10
"Saal1",2.39240423033632e-15,-0.00150177626986711,0.157,0.202,1.31345384649694e-10
"Pikfyve",2.44865621662662e-15,0.00014500468493206,0.194,0.242,1.34433674949018e-10
"Rnpc3",2.4509302867621e-15,-0.0144076661979118,0.176,0.23,1.34558523673526e-10
"Nkap",2.45182754773627e-15,-0.0191489050296047,0.211,0.273,1.34607784198269e-10
"Cmtm7",2.45846049011777e-15,-0.0100797052181934,0.247,0.308,1.34971939367955e-10
"Coq8a",2.46804906426118e-15,0.0263422276318243,0.163,0.182,1.35498361677003e-10
"Sh3gl1",2.47314155832349e-15,0.0140138528476696,0.231,0.272,1.35777944693518e-10
"Dusp12",2.47489607509631e-15,-0.000732874490627755,0.166,0.209,1.35874269418863e-10
"Nubpl",2.54365650364903e-15,0.01201269122442,0.178,0.218,1.39649285706836e-10
"C1galt1",2.62042711743059e-15,-0.027898699707553,0.896,0.946,1.43864069174057e-10
"Rpl14",2.63564109274706e-15,-0.0810009363005584,0.979,0.991,1.44699331632906e-10
"Galnt12",2.64532670279228e-15,-0.0165097961581862,0.9,0.949,1.45231081309999e-10
"Prlr",2.64729128144444e-15,0.0296387314090085,0.322,0.36,1.45338938642581e-10
"Nedd1",2.65996358659568e-15,-0.0164692992434075,0.128,0.182,1.46034660867689e-10
"Tbc1d16",2.69274295465308e-15,0.0222986474431145,0.196,0.226,1.47834280953409e-10
"Lmbr1",2.70312275681393e-15,-0.00125867718605577,0.138,0.184,1.48404142471841e-10
"Fam92a",2.71182694154785e-15,-0.0312132183301109,0.196,0.261,1.48882010917919e-10
"Rprm",2.7442273875645e-15,-0.00722966809404985,0.159,0.21,1.50660827804678e-10
