"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Polb",0.0125307724246582,-0.11303381954743,0.272,0.35,1
"Oma1",0.0125516652451896,-0.00552564381545129,0.129,0.176,1
"Parp16",0.0125957253922716,-0.0729401213290675,0.079,0.131,1
"Tmem252",0.0126158196068094,0.094762404380497,0.144,0.11,1
"Zkscan1",0.0126286113583413,-0.0823429097072729,0.283,0.364,1
"Bub3",0.0126317906152331,-0.0759673132282616,0.45,0.536,1
"Nr2c2ap",0.0127071326003606,0.0615674445803026,0.231,0.247,1
"Car8",0.0127234489577527,-0.212570946713211,0.303,0.376,1
"mt-Nd1",0.0127939865307009,0.0324929929619207,0.993,0.971,1
"5033406O09Rik",0.0128042095476587,-0.00353263357482286,0.098,0.139,1
"Slc39a5",0.012819149602222,0.042998106251469,0.101,0.112,1
"Psmb4",0.0128294539846368,0.0336497456874232,0.748,0.791,1
"Nbea",0.012849988163007,-0.122733669054311,0.549,0.634,1
"Dtd2",0.0129098511866743,-0.0525975015358829,0.116,0.176,1
"Serinc5",0.0129128131155446,-0.0044668492196306,0.065,0.108,1
"Clip1",0.0129313082546866,-0.0615294234709829,0.337,0.419,1
"Perp",0.0129406561737615,0.0428910413191234,0.415,0.458,1
"Slc38a1",0.0129519958876361,-0.0519524376430801,0.576,0.656,1
"Sf1",0.0129551515368907,0.0211888898912218,0.417,0.468,1
"Timm50",0.0129726386419941,0.0363585195282343,0.313,0.352,1
"Rbpj",0.0129916322919877,-0.0423778010884776,0.157,0.221,1
"Prpf4b",0.0130050570076151,-0.0855688697673908,0.57,0.654,1
"Vta1",0.0130089802664369,0.0724605681120047,0.352,0.372,1
"Scin",0.0130374029123912,-0.16757905050259,0.28,0.35,1
"Crybg3",0.0131289633079976,-0.101660015768579,0.196,0.268,1
"Amd1",0.0131520929682782,0.072981342766277,0.231,0.233,1
"Gabpb2",0.0131562197699462,-0.130383555658424,0.212,0.282,1
"Itpr1",0.0131641767508508,-0.101015900084925,0.524,0.609,1
"Snx16",0.0131715544881158,0.0548622732684806,0.185,0.227,1
"Cep126",0.0132384454660661,-0.00601585460035797,0.154,0.209,1
"Smarca5",0.0132535178639023,-0.0516248688805024,0.567,0.646,1
"Gsk3b",0.0132559170531555,0.117371301116549,0.721,0.706,1
"Wfs1",0.0133610885897838,-0.0515164255891175,0.105,0.159,1
"Cacna1a",0.0133993767071004,-0.135259078552922,0.742,0.812,1
"Pcbp1",0.0134015142666251,-0.141745595092682,0.629,0.706,1
"Pik3c2a",0.0134040423941184,-0.0635949551397251,0.239,0.315,1
"Isg20",0.0134816688083418,0.0058149219512651,0.47,0.53,1
"Plekha1",0.0135382042784137,-0.139976508059435,0.499,0.568,1
"Zfp706",0.0135912248170123,0.0702877390720449,0.678,0.697,1
"M6pr",0.0136234005729882,-0.0744188919286273,0.368,0.452,1
"Ssbp1",0.0136303211487396,-0.00701738871210145,0.436,0.503,1
"Tspan17",0.0136570619153172,-0.060514906911983,0.231,0.305,1
"Synj2bp",0.013676322347846,-0.0579893314362632,0.515,0.599,1
"Ggact",0.013708231096716,0.0773008442420075,0.18,0.186,1
"Eif4g3",0.0137346613686024,-0.0291876806086484,0.435,0.511,1
"Fis1",0.0137539475879142,0.0616191403445373,0.62,0.654,1
"Exoc5",0.0137645364348808,-0.0534615116459516,0.341,0.423,1
"C630043F03Rik",0.0137744646697875,0.112658397348193,0.154,0.119,1
"Svil",0.0138498836528171,-0.0697783397843486,0.08,0.131,1
"Tcf25",0.0139206683596787,-0.0260956916627006,0.678,0.732,1
"Eif2s1",0.0139330880230428,-0.0111184445418152,0.399,0.462,1
"Naa20",0.0139550907233558,-0.0440627537773816,0.507,0.585,1
"March5",0.0140359284806088,-0.0218710974620219,0.463,0.542,1
"Ffar1",0.0141056396426783,-0.11566464254224,0.099,0.155,1
"Nr1d1",0.0141169002653364,0.0380595147516123,0.11,0.065,1
"Psmb5",0.0141589427196724,0.0663230666291146,0.702,0.732,1
"Ucp2",0.0141977699087579,0.108814429633997,0.884,0.886,1
"Mocs2",0.0142191160735121,0.0144323585245929,0.378,0.429,1
"Rbm39",0.0143086673223344,-0.0883969077335272,0.899,0.935,1
"Cul1",0.0143190303554925,-0.0837306241767246,0.401,0.485,1
"Zfp788",0.0143257475341271,-0.0825485511388491,0.091,0.133,1
"Fam241b",0.0143275331031729,-0.0822030965756564,0.144,0.207,1
"D930016D06Rik",0.0143360676491651,-0.0125807906165078,0.126,0.178,1
"Dpm2",0.0143372707866135,0.108099768484123,0.401,0.352,1
"Crls1",0.0143580549396958,-0.016929607256378,0.277,0.346,1
"Mat2a",0.0143799236309364,-0.0142100265118477,0.702,0.767,1
"Usp24",0.0144052753847658,-0.078749847435226,0.254,0.329,1
"Psap",0.0145347772712327,0.00921906471586875,0.736,0.789,1
"Kdm4c",0.0145448238140758,-0.0684610585853072,0.107,0.164,1
"Sh3gl2",0.0145952143980493,0.11027114012128,0.151,0.145,1
"Helz",0.0146312178998275,-0.0339745327693098,0.39,0.466,1
"Atp6v1b2",0.0147460488949393,0.0858089915039166,0.769,0.795,1
"Spock1",0.0147467375410875,0.103710926492723,0.134,0.098,1
"Pxk",0.0148543335873596,-0.0475584084687452,0.151,0.215,1
"Tmem106a",0.0148706046823175,0.124141969038163,0.182,0.141,1
"Map6",0.0149334427398387,-0.0224008414400729,0.165,0.217,1
"Lta4h",0.0150089355182846,-0.0651985494284345,0.22,0.294,1
"Mapk8",0.0150263575552482,-0.0232251106935161,0.221,0.28,1
"Fip1l1",0.0151176939101778,-0.116999073597287,0.451,0.53,1
"Plscr1",0.0151285892246028,-0.0871309249863673,0.35,0.431,1
"Calu",0.0151317837257998,-0.0149391662521026,0.153,0.204,1
"Efcab14",0.0151494966668024,-0.0559974326230319,0.444,0.526,1
"Vapb",0.0152297097128447,0.121090152327748,0.512,0.476,1
"Muc13",0.0152410692756152,-0.0731299476448661,0.74,0.808,1
"Bnip2",0.0153716169618522,-0.0686046080920026,0.199,0.27,1
"Strip1",0.0153733014832663,-0.0221416352662921,0.203,0.266,1
"Tagap1",0.0154006361136566,0.00364878861302353,0.11,0.147,1
"Zg16",0.0154401193758308,-0.242280883143284,0.156,0.102,1
"Zmynd8",0.0154495915927831,-0.0940877032484245,0.592,0.673,1
"Hp1bp3",0.0154795036080277,-0.0601379163971955,0.545,0.626,1
"Cacng4",0.0155034827386876,-0.0797644846851371,0.209,0.282,1
"Pgm1",0.0155265212442335,-0.0908715946257866,0.239,0.294,1
"Aco2",0.0155463439084192,-0.00247798301707702,0.525,0.593,1
"Scoc",0.0155655082987358,-0.0513921570019145,0.343,0.421,1
"Kdm5d",0.0155670552161113,0.00587552944038422,0.209,0.264,1
"Ccar1",0.0155870867309685,-0.0852585284339016,0.525,0.609,1
