"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Mecp2",3.77150737891958e-27,-0.00591270491280732,0.176,0.306,2.07059526610064e-22
"Nhlrc2",3.82683386058035e-27,-0.012549472724778,0.182,0.306,2.10097005779722e-22
"Fndc5",3.9193498237422e-27,0.00976948691051832,0.216,0.334,2.15176224673271e-22
"Stmn1",4.00255481555882e-27,0.048160279536278,0.608,0.761,2.19744261928995e-22
"C230096K16Rik",4.0113682498385e-27,-0.0114734760338764,0.32,0.476,2.20228128284383e-22
"Klf3",4.03780418429676e-27,-0.0404278538446514,0.739,0.897,2.21679487522076e-22
"Sema6a",4.07617542443571e-27,-0.0320213241627572,0.095,0.214,2.23786106976945e-22
"Isy1",4.11501369730492e-27,-0.0324383803695971,0.153,0.29,2.25918366995738e-22
"Cbll1",4.12373052224841e-27,-0.0232418923330739,0.184,0.324,2.2639692940196e-22
"Cct2",4.18554452697887e-27,0.0255227283204611,0.832,0.95,2.29790580075667e-22
"Prpf38a",4.23219320599579e-27,-0.00252413647748523,0.25,0.387,2.32351639202375e-22
"Arhgap27",4.28248639823263e-27,-0.0279758883675624,0.126,0.251,2.3511278574937e-22
"Ptrh2",4.36618035468578e-27,0.0151471929322616,0.225,0.33,2.39707667652604e-22
"Fbxo32",4.45655380699938e-27,0.0385687056094866,0.303,0.428,2.44669260558073e-22
"Spin1",4.55670772802791e-27,-0.0438686435518323,0.22,0.384,2.5016781097646e-22
"Mmaa",4.63648769284787e-27,0.00632890783097614,0.232,0.354,2.54547810825041e-22
"Micu2",4.64265958576213e-27,0.0143887271422956,0.232,0.36,2.54886653917927e-22
"Agfg2",4.70349705689906e-27,-0.0330984412401451,0.136,0.273,2.58226691920815e-22
"Socs2",4.73011630335927e-27,0.00989216679651256,0.266,0.395,2.59688115170727e-22
"Pigu",4.75205268226687e-27,0.0276676380078884,0.264,0.38,2.60892444309134e-22
"Naa60",4.83199651926418e-27,-0.0207029490635438,0.162,0.297,2.65281440904123e-22
"Dhps",4.9449165716158e-27,0.0273113768404689,0.21,0.307,2.71480864698279e-22
"Fam174b",5.03337443344778e-27,-0.0165084450004521,0.353,0.516,2.76337289770716e-22
"Kmt5c",5.07632045856327e-27,-0.0187475417691428,0.195,0.333,2.78695069495582e-22
"Lpar6",5.09436555740224e-27,0.0315378213428466,0.242,0.348,2.7968576346694e-22
"Prdm16",5.10700445580171e-27,-0.0214668591989531,0.146,0.275,2.8037965162797e-22
"Fbxo31",5.39708112272968e-27,-0.0191566021463818,0.132,0.25,2.96305150718982e-22
"Foxk1",5.4391123549199e-27,-0.0386657063983183,0.136,0.287,2.98612707397458e-22
