gene,distance,Z,FC,p.value,p.adj
Rngtt,2.00601342722308e-17,-0.919468542042759,8.0198739223984e-19,0.999999999285464,1
Rac1,2.00600976753553e-17,-0.919468737746802,8.01984466017555e-19,0.999999999285466,1
Rnf40,2.00566501365997e-17,-0.919487175193449,8.01708830775244e-19,0.999999999285589,1
Gm2a,2.0055596778223e-17,-0.91949280915737,8.0162462284112e-19,0.999999999285626,1
Abcd3,2.00551684812407e-17,-0.919495100015327,8.01590385042593e-19,0.999999999285641,1
Spg7,2.00515441108129e-17,-0.91951448776539,8.0130068436318e-19,0.99999999928577,1
Ddx58,2.005149365049e-17,-0.919514757714972,8.01296651372989e-19,0.999999999285772,1
Nptn,2.00479224755099e-17,-0.919533864210031,8.01011254606068e-19,0.999999999285899,1
Fxr1,2.00466117224288e-17,-0.919540877810339,8.00906516207503e-19,0.999999999285946,1
Ppp2r3c,2.00441985809581e-17,-0.919553791228907,8.00713707125426e-19,0.999999999286032,1
Tapbpl,2.00408049664107e-17,-0.919571953941788,8.00442597892066e-19,0.999999999286153,1
Hibch,2.00355586116868e-17,-0.919600038318527,8.00023567205041e-19,0.99999999928634,1
Rell1,2.003428566596e-17,-0.919606853605404,7.99921912517021e-19,0.999999999286385,1
Pdpk1,2.00306341752776e-17,-0.919626405784044,7.99630348218342e-19,0.999999999286515,1
Faap100,2.00259789828414e-17,-0.919651337268844,7.99258717389014e-19,0.999999999286681,1
Cars2,2.00190122577479e-17,-0.91968865875223,7.98702714886485e-19,0.999999999286929,1
Atad3a,2.00155161867315e-17,-0.919707392224071,7.98423772293893e-19,0.999999999287054,1
Rabggtb,2.00152616729352e-17,-0.919708756141269,7.98403467189448e-19,0.999999999287063,1
Gmds,2.00118889580325e-17,-0.919726831781685,7.98134416458141e-19,0.999999999287183,1
Ttc19,2.00080406744836e-17,-0.919747459707426,7.97827483691163e-19,0.99999999928732,1
Bag4,2.00059648936893e-17,-0.91975858806465,7.97661947336459e-19,0.999999999287394,1
B4galt4,1.9998077042954e-17,-0.919800885204247,7.97033075092192e-19,0.999999999287675,1
Prkci,1.99975563108543e-17,-0.919803678091383,7.9699156757102e-19,0.999999999287693,1
Ammecr1,1.99955795714482e-17,-0.919814280736333,7.96834011642903e-19,0.999999999287764,1
Ltbr,1.9995216688945e-17,-0.919816227238818,7.96805089800864e-19,0.999999999287777,1
Vezt,1.99947476892656e-17,-0.919818743003765,7.96767711166283e-19,0.999999999287793,1
Trip11,1.99919700914741e-17,-0.919833643487566,7.96546358383907e-19,0.999999999287892,1
Zfp30,1.99914734337886e-17,-0.919836308025787,7.96506781898459e-19,0.99999999928791,1
Zfp292,1.99912337670769e-17,-0.919837593845586,7.96487684254893e-19,0.999999999287919,1
Gsk3a,1.99899142898946e-17,-0.919844673146359,7.96382546907711e-19,0.999999999287966,1
Zfp106,1.99878378326088e-17,-0.919855814719751,7.96217106633084e-19,0.99999999928804,1
Gmppa,1.99874513664528e-17,-0.919857888488894,7.96186317110741e-19,0.999999999288053,1
Kbtbd3,1.99815716030338e-17,-0.919889443872937,7.95717953383124e-19,0.999999999288263,1
Edem3,1.9980627556265e-17,-0.919894511184019,7.956427663826e-19,0.999999999288296,1
Gnai3,1.99792817040949e-17,-0.919901735638456,7.9553558441579e-19,0.999999999288344,1
Dusp19,1.99771842586796e-17,-0.919912995522449,7.95368560905762e-19,0.999999999288419,1
Prkab2,1.99761420704332e-17,-0.919918590802624,7.95285576023312e-19,0.999999999288456,1
Tle1,1.99761011160772e-17,-0.919918810683244,7.95282315095842e-19,0.999999999288458,1
Zfp938,1.99745850492926e-17,-0.919926950624361,7.95161605319439e-19,0.999999999288512,1
