"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Cebpz",4.81948331003027e-46,-0.0212991917735356,0.312,0.516,2.62478700030869e-41
"Rab24",4.81950051119962e-46,-0.0337872158957416,0.357,0.576,2.62479636840954e-41
"Ifi30",4.85216510216917e-46,0.185561414705556,0.854,0.948,2.64258615794337e-41
"Tmem128",4.93080472747663e-46,-0.060774341325705,0.344,0.576,2.68541487067832e-41
"Ubr5",5.02597875558333e-46,-0.0135731183848363,0.486,0.698,2.7372485498658e-41
"Hoxa11os",5.04202943257534e-46,-0.0273244962756387,0.669,0.881,2.74599006956918e-41
"March6",5.05659894276205e-46,-0.0482774254257422,0.313,0.539,2.75392491620707e-41
"Tns3",5.18667489560055e-46,-0.0246403399809149,0.406,0.628,2.82476688164197e-41
"Top2b",5.18903330605977e-46,0.0161258316977926,0.437,0.635,2.82605131914627e-41
"Sgf29",5.54750911051066e-46,0.0407544378720473,0.329,0.495,3.02128441176632e-41
"Baz2b",5.56730703152406e-46,0.00283216483268478,0.338,0.541,3.03206675550863e-41
"Map2k2",5.62798876378908e-46,0.0431045232908474,0.755,0.919,3.06511524053481e-41
"Acvr1b",5.6955793692064e-46,-0.0686461773856413,0.236,0.456,3.10192643605719e-41
"Ptprf",5.86463415079091e-46,-0.0115022340608459,0.724,0.916,3.19399705120375e-41
"Ptdss2",5.88195472892943e-46,-0.0836302223143117,0.23,0.456,3.20343018446955e-41
"Pyurf",5.96938309419923e-46,0.0345946504008443,0.416,0.579,3.25104542076278e-41
"Zfp445",6.17631995222534e-46,-0.0193484710013001,0.339,0.551,3.36374737238096e-41
"Mrpl3",6.27777590377678e-46,0.0288896733397911,0.371,0.554,3.41900231271491e-41
"Dcaf13",6.72125139300522e-46,-0.00555238742894187,0.341,0.531,3.6605279336585e-41
"Atp6v1f",6.85247566745046e-46,0.110940185087645,0.767,0.891,3.73199529800687e-41
"Osbpl9",6.91056909212346e-46,-0.0510248457398659,0.254,0.47,3.76363413895228e-41
"Galk2",7.12293773240316e-46,-0.0340318448561309,0.315,0.532,3.87929434782141e-41
"Mien1",7.13737132987188e-46,0.118261833439248,0.713,0.842,3.88715517367482e-41
"Tmem236",7.22748557569583e-46,-0.155337312130519,0.29,0.558,3.93623319423546e-41
"Csnk1d",7.25492591987064e-46,-0.100088676997163,0.345,0.598,3.95117775447995e-41
"Plec",7.4526189602054e-46,0.0143282289068162,0.559,0.764,4.05884533810707e-41
"Dctn1",7.48095182798675e-46,-0.0109288278779992,0.362,0.575,4.07427598455814e-41
