"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Snrpa",5.91296219989258e-47,0.0261870022341183,0.413,0.606,3.2203174733055e-42
"Ogfr",6.03098929206991e-47,-0.0171865438819251,0.311,0.511,3.28459738824711e-42
"Hsd17b4",6.12520340006536e-47,-0.00386046340236867,0.408,0.61,3.3359082757436e-42
"Lamtor1",6.32623650641248e-47,0.0866916090081861,0.667,0.819,3.44539492612237e-42
"Lamtor2",6.34917584022287e-47,0.1021961961553,0.779,0.911,3.45788814610218e-42
"Hadhb",6.35219721233177e-47,-0.077487566774276,0.732,0.94,3.45953364578013e-42
"Tmprss4",6.4700126679545e-47,-0.0178613660526645,0.694,0.899,3.52369829922138e-42
"Epb41l4aos",6.51680422721798e-47,-0.0355421105596172,0.423,0.647,3.54918191822746e-42
"Crot",6.98140969467619e-47,-0.0463035568615371,0.257,0.467,3.80221534791455e-42
"Ncaph2",7.0842717742397e-47,-0.0403002122256139,0.311,0.518,3.85823609368643e-42
"Tnpo1",7.4744913183752e-47,-0.0790158767595177,0.277,0.517,4.0707574618135e-42
"4933434E20Rik",7.57711489737387e-47,0.0318966446885106,0.388,0.569,4.12664831540776e-42
"Capns1",7.60909738001242e-47,0.0667218197312691,0.766,0.922,4.14406661510236e-42
"Cisd2",7.75783023717738e-47,0.0324195488808195,0.539,0.724,4.22506950377154e-42
"Mapk1ip1l",7.77334300517809e-47,0.0198591864575964,0.404,0.6,4.23351806748009e-42
"Vps72",7.7912526109447e-47,-0.0203289918269792,0.371,0.575,4.2432719969727e-42
"Bola1",7.93080574845793e-47,0.134966617715514,0.417,0.52,4.31927542672516e-42
"Kmt5a",7.96851898329654e-47,-0.0711987041395226,0.733,0.939,4.33981480868296e-42
"Lclat1",8.18598074560031e-47,-0.0895629161569929,0.271,0.51,4.45824883366884e-42
"Mrpl45",8.34841352255271e-47,-0.0397153162464321,0.371,0.591,4.54671297265266e-42
"Cyb5r3",8.45968287057962e-47,0.0335001353944125,0.466,0.651,4.60731248497507e-42
