"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mrps18a",7.39804541918048e-119,-6.95864543732981,0.328,0.526,2.07130475646215e-114
"Sys1",7.58797071685775e-119,-10.3845890800213,0.395,0.598,2.12448004130583e-114
"Ndufb6",7.6900876628669e-119,-59.8576074453441,0.629,0.767,2.15307074384947e-114
"Mrps17",7.86458796472032e-119,-8.43484190794333,0.417,0.619,2.2019273383624e-114
"Nras",1.02517166462891e-118,-3.14199657546781,0.331,0.534,2.87027562662802e-114
"Bcas2",1.26275052294971e-118,-7.27712447210007,0.452,0.62,3.53544891415459e-114
"Capzb",1.44950290027818e-118,-15.8576125863931,0.741,0.867,4.05831822019886e-114
"Nfe2l1",1.7732370177899e-118,-3.4849747421942,0.253,0.463,4.96470900240817e-114
"Cnot1",1.90113175270912e-118,-1.55774412266829,0.17,0.369,5.32278868123498e-114
"Bcl7c",2.27795135851925e-118,-3.48755488322124,0.272,0.48,6.37780821358221e-114
"Capza2",2.55681578366154e-118,-0.706028623563988,0.504,0.697,7.15857283109557e-114
"Fmr1",2.61003539437031e-118,-1.12559618053855,0.154,0.35,7.30757709715798e-114
"Fam101b",2.65588360070752e-118,-8.90261086699329,0.282,0.487,7.43594290526091e-114
"Fkbp1a",3.20016342953594e-118,5.7945342230087,0.796,0.93,8.95981757001471e-114
"Myh10",3.44690912720622e-118,-2.30302090515289,0.203,0.429,9.65065617435197e-114
"Chmp2a",4.00817156715161e-118,-20.0204694061952,0.655,0.789,1.12220787537111e-113
"Mgea5",4.19612563121067e-118,-1.45208548535735,0.199,0.399,1.17483125422636e-113
"Smg1",5.16408608739697e-118,-1.07217326561959,0.142,0.337,1.4458408227494e-113
"Bid",6.09985133563038e-118,-0.605313657574048,0.022,0.149,1.70783637694979e-113
"Kpnb1",7.8187822891909e-118,-6.28530485460719,0.222,0.417,2.18910266532767e-113
"Tmem208",8.19460714999188e-118,-12.9185068093302,0.436,0.606,2.29432610985473e-113
"Arpc5l",9.05414439056792e-118,-5.91222265145311,0.411,0.593,2.53497934647121e-113
"Mrpl43",1.07623613839103e-117,2.02097587174479,0.384,0.578,3.01324594026721e-113
"4932438A13Rik",1.41131173343681e-117,-0.805264836633066,0.119,0.307,3.95139059127638e-113
"Dpy30",1.6518181177708e-117,15.9246465756047,0.462,0.652,4.6247603661347e-113
"Ubtf",1.65184246110122e-117,-2.08572977390949,0.269,0.467,4.62482852259119e-113
"Specc1",1.74116150520668e-117,-1.09156840196045,0.109,0.291,4.87490398227767e-113
"Mrpl11",1.91305303218e-117,-2.80766744459867,0.25,0.456,5.35616587949757e-113
"Hspa9",2.34206896472076e-117,-4.77213588954998,0.294,0.476,6.55732468742519e-113
"Tgm1",2.75297893053264e-117,-0.824227563757416,0.01,0.122,7.70779040970528e-113
"Efemp1",5.59765184125902e-117,-10.0517105723772,0.127,0.316,1.5672305625157e-112
"Zrsr2",5.90743155384097e-117,-2.69780524161561,0.194,0.395,1.65396268644439e-112
"Nipal2",6.19190632797505e-117,-1.78020721307019,0.095,0.264,1.73360993370645e-112
"Uggt1",6.89018515710398e-117,-1.2197114022732,0.136,0.322,1.92911404028597e-112
"Calm1",8.43404125324931e-117,-155.78223816487,0.95,0.984,2.36136287008474e-112
"Hmga2",9.20180920023805e-117,-1.29063499170617,0.018,0.142,2.57632253988265e-112
"Mib1",1.0705878767398e-116,-1.72981278529122,0.15,0.342,2.9974319372961e-112
"Plaur",1.32906725721425e-116,-14.0632599443099,0.094,0.279,3.72112250674847e-112
"Dip2b",1.54312566906036e-116,-0.904041079068095,0.098,0.279,4.32044324823518e-112
"Sept2",1.77322052388579e-116,-10.3511320282354,0.49,0.684,4.96466282277545e-112
"Irf2bp2",1.93145990745478e-116,-10.1598957518379,0.286,0.472,5.4077014488919e-112
"Eea1",3.24264168658367e-116,-1.52629953842281,0.165,0.368,9.07874819409697e-112
"Cox20",3.67959268760466e-116,-16.0674307701244,0.395,0.591,1.03021236067555e-111
"Ppfibp2",4.61934989424104e-116,-3.37835743501552,0.153,0.337,1.29332558338961e-111
"Kcnq1",4.79999986943078e-116,-0.866310600096628,0.039,0.183,1.34390396344323e-111
"Rad23b",4.83781687156525e-116,-2.73986081857211,0.352,0.555,1.35449196770084e-111
"Zdhhc5",4.91511593180302e-116,-0.623720909060646,0.068,0.234,1.37613415858621e-111
"Vps35",6.02245384822641e-116,-1.73506610198194,0.244,0.449,1.68616662842643e-111
"Rfk",6.47012755129692e-116,-0.311698939006035,0.203,0.413,1.81150631181211e-111
"Arl2bp",9.95279602424026e-116,-2.073597262325,0.356,0.572,2.78658383086679e-111
"Kif2a",1.0042580812844e-115,-0.97303501196236,0.095,0.275,2.81172177598007e-111
"Rasgef1b",1.3384709279092e-115,-1.84985757702766,0.109,0.29,3.74745090396017e-111
"Kank4",1.87849477849284e-115,-0.711138605230984,0.013,0.128,5.25940968082426e-111
"Eif3i",3.18241968231951e-115,-24.445892500868,0.576,0.715,8.91013862655816e-111
"Wwp1",3.67321087525528e-115,-2.34125073635375,0.195,0.403,1.02842558085397e-110
"Emg1",4.70599762388671e-115,-11.8205050626816,0.411,0.593,1.3175852147358e-110
"Sppl2a",5.03151151380953e-115,-0.924131919319214,0.121,0.309,1.40872259363639e-110
"Siva1",5.2456962986557e-115,-28.8210105922854,0.451,0.635,1.46869004969762e-110
"Sh3yl1",5.45696341380379e-115,-1.07278705571644,0.045,0.191,1.52784061659679e-110
"Parva",5.79930606548856e-115,-3.99963112483809,0.36,0.565,1.62368971221549e-110
"Kdm5b",6.03224886944919e-115,-1.12478997090022,0.207,0.407,1.68890903846838e-110
"Pcbp2",6.35455453109822e-115,-16.0817004521779,0.769,0.867,1.77914817761688e-110
"Strbp",7.70413279177571e-115,2.22544909729153,0.146,0.345,2.15700309904136e-110
"U2af1",9.11047221924896e-115,-41.4678856591522,0.53,0.694,2.55075001194532e-110
"Dmxl1",9.21735893775684e-115,-0.910948697669909,0.11,0.29,2.58067615539316e-110
"Commd1",1.04670793521229e-114,-31.0981312183132,0.464,0.657,2.93057287700736e-110
"Peg3",1.2281757367934e-114,-11.5049270891972,0.159,0.357,3.43864642787417e-110
"Atp11b",1.60051275890114e-114,-1.25539428433824,0.151,0.341,4.48111562237143e-110
"Xiap",1.964198714434e-114,-2.79748371288514,0.305,0.511,5.49936356067231e-110
"Nbea",1.99983481969421e-114,-0.951899838240649,0.093,0.268,5.59913752817984e-110
"Crk",2.26848174398878e-114,-2.31059147054821,0.257,0.457,6.3512951868198e-110
"Celsr1",2.50138858572953e-114,-1.11681465766485,0.077,0.245,7.00338776232553e-110
"Fis1",2.70161888453859e-114,-31.0362044713242,0.763,0.848,7.56399255293113e-110
"Dnttip2",2.7556361959394e-114,-1.46694346746975,0.159,0.353,7.71523022139113e-110
"Rasef",3.07110467236279e-114,-0.435572159209057,0.017,0.137,8.59847886168134e-110
"Hist1h1b",3.26372126845675e-114,-49.39227851386,0.014,0.126,9.13776680742521e-110
"Bptf",3.53592566488636e-114,-3.58076663425056,0.353,0.552,9.89988467654884e-110
"Mal2",3.57293306417033e-114,-0.536108688631312,0.321,0.531,1.00034979930641e-109
"H2afj",3.95487450240961e-114,-49.317685760486,0.771,0.844,1.10728576318464e-109
"Churc1",4.84986103648724e-114,-8.69177743450701,0.472,0.649,1.3578640929957e-109
"Gata6",4.90394856698502e-114,-4.08343722375357,0.23,0.429,1.37300751978447e-109
"Esd",5.26255846329919e-114,-17.3828848689435,0.586,0.729,1.47341111855451e-109
"Neat1",9.90329950547321e-114,-59.3134303417783,0.539,0.648,2.77272579554239e-109
"Snrpd3",1.10691059039005e-113,-28.6182146971818,0.436,0.637,3.09912827097408e-109
"Rpl27",1.20577027831578e-113,-178.67365294944,0.989,0.996,3.37591562522851e-109
"Atp2a2",1.38752048116433e-113,-4.66227644801123,0.334,0.544,3.88477984316389e-109
"Kpna3",1.76130302658418e-113,-0.981875038704664,0.072,0.236,4.93129621383039e-109
