"gene","distance","Z","FC","p.value","p.adj"
"Trem2",0.000127898157577789,3.8750463818636,4044861.55992353,0,0
"Vim",6.69341122756795e-07,1.66203027153273,110.782229475047,6.60410611756679e-26,2.78726298691906e-22
"Igf1",6.26688564230038e-07,1.64040160801134,97.1132804948051,6.54722792240709e-23,1.84217169643461e-19
"Spp1",6.22230197672158e-07,1.63806407521831,95.7364355081854,1.31242659460719e-22,2.76954822126982e-19
"Lgals3",6.03138972755241e-07,1.62787893266972,89.951802265989,2.44033092798486e-21,4.11976667262405e-18
"Lpl",4.99498815878519e-07,1.56686188109821,61.6941537307859,4.01169650736273e-15,5.6437883697748e-12
"Cst7",4.76910145617848e-07,1.55204318730517,56.2403750760089,6.41310017861061e-14,7.73328265823602e-11
"Anxa5",4.61350873826732e-07,1.54145980268235,52.6305344676794,4.0258126169554e-13,4.24773553746506e-10
"Vat1",4.5859880130894e-07,1.5395541217722,52.0044988694996,5.53736190837064e-13,5.19343020761739e-10
"Axl",4.44980846669996e-07,1.52996840080873,48.961838983083,2.60991164188907e-12,2.20302641691857e-09
"Rab7b",4.33373297879791e-07,1.52158469984201,46.4407669309335,9.44302702423318e-12,7.24623555559566e-09
"Fxyd5",4.31430226606466e-07,1.52016136672084,46.0252571347196,1.1673823030781e-11,8.21156168356855e-09
"Gm49339",4.19325490226552e-07,1.51116080126382,43.4788062906831,4.28576007151244e-11,2.78277698181819e-08
"Cxcl14",4.16228472695235e-07,1.50882002816661,42.8389340755543,5.94373534145191e-11,3.58364785837111e-08
"Cd63",4.03463889478428e-07,1.49900198784708,40.251718526518,2.23258865246795e-10,1.25635205436546e-07
"Cd52",4.01314535207475e-07,1.4973210459518,39.8239986676425,2.77909309743078e-10,1.46614530221333e-07
"Pianp",3.87917803632704e-07,1.48665540002431,37.2095578629027,1.06092516508619e-09,5.26780548146622e-07
"Ctsb",3.85865546658967e-07,1.48499199998612,36.8168892339478,1.29761246192814e-09,6.08508155063079e-07
"Mif",3.83246085472813e-07,1.48285713422115,36.3187205392252,1.67546739899786e-09,7.44348437628468e-07
"Capg",3.65327940357596e-07,1.46788726746517,33.0020457576741,9.20619506507563e-09,3.88547462721517e-06
"Apoe",3.55603380252506e-07,1.45948078403433,31.2684854927741,2.24697700054231e-08,9.03177755313219e-06
"Aplp2",3.54794865330826e-07,1.45877246996868,31.1264604250573,2.41753322111949e-08,9.27563541794074e-06
"Crip1",3.40168322704448e-07,1.44569825302015,28.6129622906574,8.83885176816448e-08,3.23207873017808e-05
"Cstb",3.39720038503022e-07,1.44528952169498,28.537597911547,9.18965638245159e-08,3.23207873017808e-05
"Pkm",3.30733226706556e-07,1.43699034492468,27.0477249376223,1.98493702546074e-07,6.70194137276564e-05
"Ank",3.26220679334327e-07,1.43274539799067,26.3146780425788,2.90075709942452e-07,9.41741949086244e-05
"Adssl1",3.21989924872285e-07,1.42871672246218,25.6365541631125,4.12157327190591e-07,0.000125377596900741
"Lrpap1",3.2188049669743e-07,1.42861188341269,25.6191319743147,4.15895357566729e-07,0.000125377596900741
"Fth1",3.19188859416314e-07,1.42602286258968,25.192457523834,5.18847161593015e-07,0.000151020306586436
"AB124611",3.09165077178042e-07,1.41620318426928,23.6350185128052,1.16448964341193e-06,0.000327648569334669
"Itgax",3.04682566211467e-07,1.41171788331969,22.9546298962313,1.65870229878329e-06,0.000439591406767871
"Cox5a",3.04622727188841e-07,1.41165760195776,22.9456142984541,1.6664998242592e-06,0.000439591406767871
"Gla",3.02299624586194e-07,1.40930895738071,22.5969747835246,1.99798966598568e-06,0.000511061538502579
"S100a8",2.99534661629686e-07,1.40649209353405,22.1855017975541,2.4753599110691e-06,0.000614544500274536
"Plau",2.95886079172691e-07,1.40273859238391,21.6483176232738,3.27497126386355e-06,0.000751002788398572
"Arpc1b",2.95834472103379e-07,1.4026851998827,21.6407666847352,3.28788894238964e-06,0.000751002788398572
"Il4i1",2.9581840449433e-07,1.40266857465805,21.6384160057664,3.29192076421599e-06,0.000751002788398572
"Emp3",2.95388839282804e-07,1.40222379676986,21.5756182773117,3.40148581407612e-06,0.000755577414647804
"S100a9",2.92165807928846e-07,1.39886772422327,21.1073573926263,4.34257613775656e-06,0.000927696239464359
"Fabp5",2.92003168506083e-07,1.39869747994322,21.0838643428629,4.39614377189603e-06,0.000927696239464359
"Cybb",2.90872941073606e-07,1.39751201542862,20.9209658055982,4.78627294866222e-06,0.00098538853560141
"Plaur",2.88091908429849e-07,1.39457712521833,20.5228280450656,5.89243047463331e-06,0.00118423822943761
"Cd9",2.87399898046825e-07,1.3938428255947,20.4243528520363,6.20353382698001e-06,0.00121776811705903
"Rps2",2.86958961258008e-07,1.39337410326712,20.3617297257809,6.40989632174828e-06,0.00122968033754266
"Camp",2.86088878399815e-07,1.3924472666779,20.2384400877723,6.83653116870231e-06,0.00128238132433369
"Tmsb10",2.84646482462752e-07,1.39090512081438,20.0348791905109,7.60424270766348e-06,0.00139537853685625
"Mmp12",2.78270288034399e-07,1.38400163000161,19.1473537226014,1.2100514936546e-05,0.00217320099105075
"Tpi1",2.77001751782663e-07,1.38261104355681,18.9731795429704,1.32568875724406e-05,0.00233127891664523
"Tpm4",2.74217625901435e-07,1.37953861882913,18.59369994722,1.61754228714518e-05,0.00278646417261071
"Npc2",2.68921130253119e-07,1.37361447449317,17.8823644222341,2.34988618339382e-05,0.00396707785480545
