"gene","distance","Z","FC","p.value","p.adj"
"Trem2",9.02338050813974e-08,1.7391973981773,692.850215774788,1.07271179947335e-152,9.05476029935455e-149
"Enpp2",3.47839438628354e-08,1.52599317273915,102.95761091773,3.42396511480411e-24,1.3755395926331e-20
"Ttr",3.46645568716569e-08,1.5252424567338,102.252072454011,4.88877950230933e-24,1.3755395926331e-20
"Mt3",3.39905394941555e-08,1.5209575376241,98.3143537536647,3.56969075490682e-23,7.53293991554212e-20
"Chchd10",3.3727903256311e-08,1.51926599671552,96.8009234536541,7.66603422433658e-23,1.2941798977525e-19
"Cdkn1c",3.22711625785727e-08,1.50965023755331,88.6196511203271,4.78511929385789e-21,6.73186532657574e-18
"Slc2a5",1.85044693764952e-08,1.3903258312788,29.1376206937609,6.74151179817938e-08,8.12930015549031e-05
"Jun",1.82840365603975e-08,1.38779106038798,28.4475569454414,9.62711719320911e-08,0.000101578120284848
"Ccl5",1.67283157725269e-08,1.36902947718746,23.8125140421289,1.0618983365499e-06,0.000995942650979744
"Selplg",1.59480380186595e-08,1.35898596986757,21.6428942795011,3.28424402048413e-06,0.00268174914679408
"Ifit3",1.59040762582123e-08,1.35840630759074,21.5237387628701,3.49475661826026e-06,0.00268174914679408
"P2ry13",1.57453213115237e-08,1.35630027840594,21.0961822486162,4.36797494254274e-06,0.00307250637416694
"Hemk1",1.56089680651215e-08,1.35447526263811,20.7323817767265,5.28152661898429e-06,0.00331685320859859
"Phf11a",1.55795620072377e-08,1.35407969353067,20.654339033253,5.50123740319633e-06,0.00331685320859859
"Vsir",1.55187061749285e-08,1.35325880561099,20.4932970076928,5.98404442618961e-06,0.00336742126676444
"Apoo",1.53299374474996e-08,1.35069289712789,19.9977704506354,7.75325129339857e-06,0.00409032463547358
"Ifit2",1.51774721241471e-08,1.3485984496029,19.6019691425255,9.53708542927466e-06,0.00452226438868627
"Ifi211",1.51692627816531e-08,1.34848510991318,19.5807698601786,9.64349709706822e-06,0.00452226438868627
"Gpr34",1.50262762792405e-08,1.34650160947724,19.2133702902302,1.16891816564751e-05,0.00519307275591084
"Isg15",1.49448481897089e-08,1.34536401601859,19.0056982181453,1.30328669956196e-05,0.00533686653947644
"Isg20",1.49102321587471e-08,1.34487862719652,18.9177562201427,1.36476469042016e-05,0.00533686653947644
"Cd52",1.48656830502043e-08,1.34425237819091,18.8048793521705,1.44796216010836e-05,0.00533686653947644
"Cst7",1.48624487415501e-08,1.34420684251503,18.7966975326775,1.45418706797723e-05,0.00533686653947644
"Rhob",1.48222785511339e-08,1.34364050249314,18.6952275076934,1.53365865127207e-05,0.00539400528141149
"Irf7",1.4777076286568e-08,1.34300147162396,18.5813748294459,1.62803429297802e-05,0.00549689498681099
"Zfhx3",1.46772806344657e-08,1.34158404544415,18.3312470204223,1.85637258716208e-05,0.00602678500316734
"Lgmn",1.45626042857536e-08,1.33994391555808,18.0459151199712,2.15640823875532e-05,0.00674157109012358
"Tmem119",1.43725499884753e-08,1.33719850096414,17.5779598856593,2.75766008096937e-05,0.00829324998606111
"Csf1r",1.43433615990312e-08,1.33677381041163,17.5066362368206,2.86306590632129e-05,0.00829324998606111
"Ptgds",1.43207114057867e-08,1.33644368439146,17.4513889917881,2.94748844428188e-05,0.00829324998606111
"Arhgap45",1.42883118206019e-08,1.33597059798595,17.3725132795966,3.07237168113459e-05,0.00836577076143778
"Fth1",1.41125903377728e-08,1.33338689236571,16.9478371912059,3.84210666255946e-05,0.0101347569808326
"Cx3cr1",1.40330652247156e-08,1.33220754175617,16.7573716227575,4.24769157307393e-05,0.0108650801722173
"Siglech",1.39441149235977e-08,1.33088087063518,16.5456076014952,4.7493869245703e-05,0.0117910514794994
"P2ry12",1.37746969891637e-08,1.32833165514643,16.1459990187143,5.86423134798024e-05,0.0141428505166575
"Ms4a4c",1.34553682779038e-08,1.32344470609104,15.4060744228359,8.67091134047249e-05,0.0203308785069245
"Nrip1",1.34001019362705e-08,1.32258775208607,15.279777057304,9.27036933607984e-05,0.0211489696123919
"S100a1",1.33708621006743e-08,1.32213300328971,15.213167008711,9.60315052061153e-05,0.0213316298801268
"Ecscr",1.32733079672831e-08,1.32060894153727,14.9919855663976,0.00010796874633117,0.0233683125072156
"Ccr5",1.32360645451781e-08,1.32002428954107,14.9079719188425,0.000112884947133017,0.0238215459687449
"Phf11b",1.31603744954641e-08,1.31883126660645,14.7379578163788,0.000123534018334606,0.0252652221145141
"Parp12",1.31456517351269e-08,1.31859845013689,14.7050009960188,0.000125712513779125,0.0252652221145141
"Golm1",1.30834179568833e-08,1.31761157997642,14.5660985580246,0.0001353274540169,0.0265650939385267
"Gbp2",1.30128526339841e-08,1.31648718339609,14.4093979818059,0.000147066522860354,0.0282133754423693
