"","gene","distance","Z","FC","p.value","p.adj"
"2619","Apoe",0.000303731141795619,7.86150788013057,2773495.5350641,0,0
"6013","Trem2",0.000123376999437295,6.83431178021267,457632.893912441,0,0
"3473","Lpl",2.67558666432757e-06,3.22316464154005,215.222103092541,9.96817783646809e-49,2.16741413424271e-45
"1971","Spp1",2.24249125207875e-06,3.08254279410711,151.185569649089,9.54616635521091e-35,1.55674107837602e-31
"3802","Lgals3",2.15379278174819e-06,3.05068928891302,139.462247503491,3.4898707882219e-32,4.55288543031429e-29
"3274","Igf1",2.14806335639896e-06,3.04859055998645,138.721251657292,5.06821833523431e-32,5.50999803345557e-29
"408","Vim",2.05042790148207e-06,3.01201279492909,126.397310021414,2.5169437544236e-29,2.34543201572931e-26
"1460","Cd72",2.0464401270046e-06,3.01048509093257,125.906140522956,3.22375605131339e-29,2.62857009033966e-26
"494","Ass1",2.01575443505812e-06,2.99863722953185,122.158607514382,2.13102357723461e-28,1.54451853270015e-25
"3125","Gm49339",2.0051008009511e-06,2.99448507894664,120.870758232883,4.07855363206531e-28,2.6604405341962e-25
"756","Cst7",1.93118240903155e-06,2.96510545807871,112.123183255209,3.35785455361202e-26,1.99120775029193e-23
"4718","Vat1",1.86970246004916e-06,2.93987242728436,105.097848246294,1.16251096196774e-24,6.31921583742965e-22
"4976","Cxcl14",1.85704884064151e-06,2.93458467671739,103.68011669375,2.37765452009207e-24,1.19303387958158e-21
"1113","Anxa5",1.83087073168584e-06,2.92353944078707,100.777641359589,1.02911468388868e-23,4.79493934500416e-21
"2355","Capg",1.81937134059271e-06,2.91864165122169,99.515682094496,1.94616194685197e-23,8.46320958621027e-21
"4001","Aplp2",1.7505442826751e-06,2.88871892983019,92.128718092985,8.12181620930739e-22,3.31116294583201e-19
"2993","Itgax",1.70030649313484e-06,2.86618823431371,86.91670464767,1.13189287189984e-20,4.34313953141334e-18
"2643","Axl",1.60214634250536e-06,2.82034370150406,77.1708334904805,1.56791969320047e-18,5.68196675485925e-16
"3367","Cd63",1.55456959097526e-06,2.79718812131983,72.6556114333114,1.54367337688735e-17,5.2996744407559e-15
"1083","Fabp5",1.55113174389327e-06,2.79548982425077,72.3346187972536,1.81632976634953e-17,5.923959532949e-15
"909","Cybb",1.53588459205876e-06,2.78791583950364,70.9195535071447,3.72091823662424e-17,1.15578807892857e-14
"4510","Cxcl16",1.49496983573883e-06,2.76724514231906,67.1913992618817,2.46386666218072e-16,7.30536465336584e-14
"1678","Cd52",1.48335093747038e-06,2.76128043513051,66.1510354306039,4.17660192944698e-16,1.18452062546881e-13
"4126","Anxa2",1.47230950199763e-06,2.75557230022721,65.1699001268468,6.87110600920325e-16,1.8675093540847e-13
"3983","AB124611",1.42302002323061e-06,2.72960185232933,60.8794678596131,6.06783998016308e-15,1.58322080762415e-12
"2956","Bola2",1.36603350171766e-06,2.69852609808181,56.1011193413855,6.88379151733987e-14,1.72703738721569e-11
"213","Rab7b",1.33602091776706e-06,2.68167809187159,53.6630485874451,2.37997714724739e-13,5.74984849314618e-11
"3199","Cstb",1.23566114360503e-06,2.62269911609843,45.9036908261398,1.24211717574464e-11,2.89368940620797e-09
"1877","Lrpap1",1.23192615763015e-06,2.62042032543145,45.6266075413586,1.430846773362e-11,3.21841844918631e-09
"2217","Flt1",1.21577755718882e-06,2.61049417460447,44.4382624910454,2.62506102417452e-11,5.7077576868968e-09
"2359","Tmsb10",1.20759823478836e-06,2.60542028264004,43.8423439229899,3.55920704290943e-11,7.48926049706395e-09
"2694","Fxyd5",1.20451631554538e-06,2.60350028498661,43.6188488216762,3.98977693623444e-11,8.13291092345539e-09
"5320","Ank",1.1891730534293e-06,2.5938739943824,42.5146829465889,7.01536067576108e-11,1.38670296024211e-08
"5282","Adssl1",1.15958520582508e-06,2.57498435778237,40.425384319074,2.04269847486619e-10,3.91897710339769e-08
"6374","Fth1",1.14171063010624e-06,2.56335725326781,39.1887052251114,3.84759609050569e-10,7.17081979953389e-08
"1689","Clic4",1.12987479787073e-06,2.55556594183704,38.3803975541855,5.82142130562849e-10,1.05480919935041e-07
"3313","Lyz2",1.08306875749827e-06,2.52400182709715,35.2663799375809,2.87553390667155e-09,4.9997950222344e-07
"4855","Slc16a3",1.08268514811026e-06,2.52373800160032,35.2414025416099,2.9126507871364e-09,4.9997950222344e-07
"4607","Ccl6",1.06585812131922e-06,2.51208002112821,34.1544756942189,5.09060227022619e-09,8.51435861761165e-07
"862","Zbp1",1.02573318540979e-06,2.48358434418033,31.6313434981899,1.86396707811478e-08,2.979498175511e-06
"2652","Pld3",1.02558517283937e-06,2.48347734831286,31.6222153960073,1.87274912150776e-08,2.979498175511e-06
"2691","Cd22",9.97883495194154e-07,2.46319829605647,29.9370156662393,4.46310605594445e-08,6.93162876260134e-06
"3178","Mif",9.92353888592146e-07,2.45908855726581,29.6061528667163,5.29366354878093e-08,8.03036449504605e-06
"1867","Gm1673",9.89068508118503e-07,2.45663681623043,29.4104435210911,5.85612091844208e-08,8.65934640096134e-06
"2477","Usp18",9.88419998530435e-07,2.4561519775687,29.3718886553637,5.97379408314059e-08,8.65934640096134e-06
"5256","Ifi27l2a",9.84101743699135e-07,2.45291609890412,29.1158067502483,6.81784531855212e-08,9.66800108976423e-06
"3877","Ctsb",9.70430505501634e-07,2.44258492214224,28.3124665202333,1.0322903349878e-07,1.43268720321818e-05
"3036","Irf7",9.66858230162378e-07,2.43986338878553,28.1044067549011,1.14943834391603e-07,1.56203881611755e-05
"2510","Cd9",9.63125990627098e-07,2.43701010991747,27.887849821517,1.28554496661395e-07,1.71134894229037e-05
"1794","Isg15",9.15187806173806e-07,2.39943008490099,25.1807856171194,5.21996810899061e-07,6.80997039498915e-05
"182","Pdcd1",8.91485030052022e-07,2.38017630575913,23.8933439668956,1.01823209115252e-06,0.00013023388099192
"3032","Ifitm3",8.8091701675469e-07,2.37144001075611,23.3302194710627,1.36439422211071e-06,0.000171152759823619
"3517","Tpm4",8.74559216748653e-07,2.36613772447971,22.9946745712005,1.624507823137e-06,0.000199937066609861
"2166","Fam20c",8.68241426337743e-07,2.36083363993972,22.6636488416389,1.92984467793439e-06,0.000233118089521594
"4157","Bcl2a1d",8.66390071326544e-07,2.35927262738483,22.5671002907881,2.02930134207609e-06,0.000240675139170224
"338","Ifi204",8.65494589177802e-07,2.35851648204466,22.520474659619,2.07915658804898e-06,0.000242184614711491
"3867","Phf11b",8.5952477642955e-07,2.35345714108474,22.2108728363741,2.44286483022337e-06,0.000279558022588545
"2290","Parp12",8.57705732691928e-07,2.35190911221951,22.1169609502941,2.56533144448131e-06,0.000288511327799165
"2727","Il4i1",8.3430332543917e-07,2.33171991076154,20.9265085309112,4.77244422332519e-06,0.000519576915941332
"1289","Rhoc",8.34249436627821e-07,2.33167282409659,20.923805273676,4.77918365115437e-06,0.000519576915941332
"334","Slamf8",8.0471986831882e-07,2.3054409563139,19.4687592056102,1.02258560646711e-05,0.00109349605098114
"3305","Glipr1",7.9834331765343e-07,2.29966067318836,19.1614431283146,1.20115242184036e-05,0.00126372858833301
"5292","Crip1",7.90181823977646e-07,2.29220020507222,18.7716693968519,1.47339638637279e-05,0.00152554994100154
"4091","Pkm",7.6866224566274e-07,2.27218453383877,17.7631476728353,2.50182534486143e-05,0.00254990730070798
"6431","Ifit3",7.61684346259767e-07,2.26558376338605,17.4421045801714,2.9619193880193e-05,0.00297240002585383
"1519","Plin2",7.53344007089044e-07,2.25762097323236,17.0622185717893,3.61748657156068e-05,0.00357528256155914
"4490","Cd68",7.479128805534e-07,2.2523920831011,16.8170900988849,4.11609438363073e-05,0.00400735577080944
"6388","Ms4a6c",7.22874746510948e-07,2.22782628251685,15.709954657882,7.38345641382462e-05,0.00708268914520265
"2202","Arpc1b",7.18649724420132e-07,2.22360413262629,15.5268498159044,8.13416535507541e-05,0.00768973342190679
"2762","Emp3",7.17469030257392e-07,2.22242016778566,15.4758725433667,8.356515466862e-05,0.00778707862719154
"621","Hsd17b12",7.11219674870857e-07,2.21612355775373,15.2074483482309,9.63227506915672e-05,0.00884948313748018
"6216","Cd74",7.10045558689824e-07,2.21493489934742,15.1572793959415,9.89162134009939e-05,0.0089615341668706
"4640","Nme2",7.08969587022963e-07,2.2138440156906,15.111376858682,0.000101350650203277,0.00905630535994487
"5471","Tspo",6.99321469749682e-07,2.20399369743125,14.7028846094693,0.00012585372446707,0.0110877777164011
"2618","Apoc1",6.98743957738639e-07,2.20340013296756,14.6786108333045,0.000127484796677921,0.0110877777164011
"870","Ctsz",6.96480289231767e-07,2.20106919360018,14.5836584938578,0.000134072183104075,0.011507274347209
