"","gene","distance","Z","FC","p.value","p.adj"
"6072","Trem2",6.75825348456911e-05,11.6272504977019,1997096.36227664,0,0
"1142","P2ry12",3.61006449228158e-07,2.84201808117851,56.9849258527783,4.39165254298358e-14,1.44748867816739e-10
"1002","Apoo",3.53492741932177e-07,2.81881343531176,54.6375313631796,1.44940997449322e-13,3.18483685061977e-10
"2017","Tmem119",3.28072182802717e-07,2.7370669989717,47.0618378267714,6.87819697973166e-12,1.13352686225978e-08
"6187","Ttr",3.18431505663171e-07,2.70465166235872,44.336573619206,2.76501883717191e-11,3.64540083492745e-08
"195","Dbi",3.07686211128621e-07,2.66752420510813,41.3948329560776,1.24385732486245e-10,1.21575492996765e-07
"2018","Selplg",3.07415827889945e-07,2.66657584233902,41.3221124321737,1.29100189772051e-10,1.21575492996765e-07
"914","Gpr34",2.9546766039096e-07,2.6239428207695,38.1724445746989,6.47605229519655e-10,5.33626709124195e-07
"1141","P2ry13",2.92887345730225e-07,2.61454389489593,37.508637021719,9.10090834751963e-10,6.63892770710669e-07
"1228","S100a1",2.92114929387975e-07,2.61171664459766,37.3110587985919,1.0071188876072e-09,6.63892770710669e-07
"1767","Slc2a5",2.89451348820244e-07,2.60191824752038,36.6337368943843,1.42543272925344e-09,8.54222959203518e-07
"4025","Thyn1",2.85467611536888e-07,2.58711946760187,35.6322912354616,2.38304374339853e-09,1.30908536304026e-06
"815","Serinc3",2.83958992035209e-07,2.58146940585178,35.2566722480759,2.88990311163449e-09,1.46540317783804e-06
"1534","Jun",2.81520567415029e-07,2.57228287810248,34.6537569380051,3.93877682363381e-09,1.85460120152815e-06
"5141","Rhob",2.79129276633068e-07,2.56320801116802,34.0675456701174,5.32317403843125e-09,2.33935755075592e-06
"262","Ier5",2.7337907377893e-07,2.54111269225489,32.6783862808149,1.0873968520838e-08,4.48007503058527e-06
"3163","Vsir",2.67164533270175e-07,2.51678452942729,31.2095620606412,2.31622357780666e-08,8.9814975440597e-06
"4632","Adap2os",2.59534767059878e-07,2.4862496321522,29.452431474058,5.73060982130435e-08,2.05852142521498e-05
