"gene","distance","Z","FC","p.value","p.adj"
"Trem2",9.54600731238608e-06,5.51968319574549,9948034.15813504,0,0
"Cxcl16",1.82436427144692e-08,1.57145654170938,36.33430514325,1.66212318162229e-09,7.01499088803689e-06
"Ccl5",1.79422431880461e-08,1.5644662879568,35.1436787173179,3.06253913472009e-09,7.40559175083635e-06
"Bola2",1.77582903548981e-08,1.56014910887986,34.4267517279893,4.42597917393171e-09,7.40559175083635e-06
"Tor3a",1.76701829632912e-08,1.55806739976981,34.0859839481091,5.27297129863476e-09,7.40559175083635e-06
"Pla2g16",1.76121908470422e-08,1.55669224456783,33.8626161841712,5.91443094446151e-09,7.40559175083635e-06
"B430306N03Rik",1.75271404174465e-08,1.55466825396832,33.5363562485118,6.99442906568338e-09,7.40559175083635e-06
"Ldha",1.75253806450985e-08,1.55462628475628,33.5296223046655,7.01868664929402e-09,7.40559175083635e-06
"Prdx5",1.74532275151835e-08,1.55290229456817,33.2541033755204,8.08689296686415e-09,7.58460705925559e-06
"Cd72",1.73140654651803e-08,1.5495594814234,32.7259191368065,1.06112779736285e-08,8.95697973753985e-06
"Higd1a",1.70792450541916e-08,1.54386500132259,31.8442542052284,1.67043083935837e-08,1.18643716916586e-05
"Clec5a",1.70742027365905e-08,1.54374197129536,31.8254541774125,1.68667764838175e-08,1.18643716916586e-05
"Gbp2",1.66714608747548e-08,1.53381071452566,30.3417801682195,3.62238754235503e-08,2.35204409577068e-05
"Fth1",1.64524984958242e-08,1.52832258109604,29.5499984160908,5.44926980410215e-08,3.28552045831616e-05
"Nmi",1.62204910269576e-08,1.52243706896813,28.7224668250253,8.35290495265685e-08,4.41532422249941e-05
"Calm1",1.62194192941055e-08,1.52240971046433,28.7186714042472,8.36929126406712e-08,4.41532422249941e-05
"Cycs",1.60738230879087e-08,1.51867818903082,28.2053900910643,1.09100323342995e-07,5.41715193728363e-05
"Tspo",1.59795215505303e-08,1.51624544680574,27.8754114204774,1.29383577974646e-07,6.0673710093555e-05
"Nme2",1.56600946917454e-08,1.50791030494191,26.7721044032399,2.28918123422924e-07,0.000101699888411205
"Ms4a4c",1.53198682996049e-08,1.49886663608967,25.6214560061137,4.15394765512891e-07,0.000175317360784716
"Cd63",1.52604798172852e-08,1.49726996734371,25.423194503045,4.6034980565139e-07,0.000185038700452542
"Cstb",1.50936684291995e-08,1.49275585821459,24.8704333812701,6.13156555914778e-07,0.000235257022203484
"Psme1",1.49724460497337e-08,1.48944788057029,24.47255178316,7.53760387245808e-07,0.000276630062119212
"Cox17",1.46892448036284e-08,1.48162715561165,23.555519116286,1.21360814156026e-06,0.000426836096787922
"Cd52",1.46382180560036e-08,1.4802039763013,23.3921514430117,1.32116479294911e-06,0.00044444912229629
"Tpm4",1.46167992069368e-08,1.47960528833896,23.3237460674521,1.36899386088183e-06,0.00044444912229629
"Atp5j2",1.45138664343395e-08,1.47671737921459,22.9964070142311,1.62304453789733e-06,0.000507411812755237
"Aldoa",1.43822773742954e-08,1.47299918194413,22.5813063606942,2.01435094155933e-06,0.000607254867775082
"Cybb",1.42856475735386e-08,1.47024973276971,22.278892922846,2.35784109494261e-06,0.000686294368358984
"Plin2",1.39999532260129e-08,1.46202416560432,21.396705629416,3.73412247896271e-06,0.00105065759483081
"Lgals3",1.36316668370463e-08,1.4512004265724,20.285778021397,6.66945012747726e-06,0.0017997899630589
"Slfn2",1.3617023603385e-08,1.45076478628316,20.24221917495,6.82303978413514e-06,0.0017997899630589
"Pgam1",1.35317297545053e-08,1.44821906549769,19.9894283269257,7.78715027127337e-06,0.00199185864969147
"Eif4a1",1.32359720600438e-08,1.43928124515061,19.1251753578256,1.22419400168381e-05,0.00303924163770973
