"","gene","distance","Z","FC","p.value","p.adj"
"3444","Lpl",0.000240672049910026,8.39514220673325,2081442.06943067,0,0
"2598","Apoe",0.000191607869220605,8.07189614687419,1319288.25658568,0,0
"5970","Trem2",9.61049695442613e-05,7.1398897691389,331898.053090382,0,0
"3150","Chchd10",1.9831159741235e-06,2.99860774797081,141.321825801227,1.36826541602432e-32,2.21693204031341e-29
"3033","Cdkn1c",1.74500798651142e-06,2.88903597920206,109.422807126073,1.31112274427724e-25,1.69947730113216e-22
"985","Apoo",1.60848542653352e-06,2.82002083367698,92.9709513016219,5.30675431503466e-22,5.73217911928994e-19
"6086","Ttr",1.57176596566537e-06,2.8005653903824,88.7746104058759,4.42458483897414e-21,4.09653347734163e-18
"1207","S100a1",1.56279021131384e-06,2.79574792130142,87.7635897470175,7.37643748172986e-21,5.9758364148864e-18
"190","Dbi",1.48365509678543e-06,2.75216987947486,79.1004437192895,5.90310699503478e-19,4.25089293720227e-16
"3807","Slc22a17",1.44181392137817e-06,2.72828212358587,74.701864750031,5.47443904710282e-18,3.54798394642734e-15
"6203","Acaa2",1.37005308812498e-06,2.68583098553967,67.4509088583684,2.15998903901456e-16,1.2726262692594e-13
"4620","Atp5g1",1.32444778931298e-06,2.65780736883411,63.0351367804251,2.03051847003731e-15,1.09664918369265e-12
"3960","Acad8",1.24496035922275e-06,2.60683389912702,55.6960070070391,8.45899220584954e-14,4.21713296047007e-11
"1963","Atp5k",1.23421592298553e-06,2.59972188401323,54.7388039976105,1.37661206590828e-13,6.37273057082252e-11
"3837","Cab39l",1.20782458863829e-06,2.58201502764256,52.4228644067843,4.47483580019251e-13,1.93342738806984e-10
"6316","Pla2g16",1.14549608248695e-06,2.5387830653751,47.1520121655342,6.56891810378097e-12,2.66082238941278e-09
"4302","Mdh1",1.08404671305003e-06,2.4940510693767,42.2288260093507,8.11943589906419e-11,2.77725174227797e-08
"4311","Cfap36",1.08394400662095e-06,2.49397442616833,42.2208245710141,8.15272408972581e-11,2.77725174227797e-08
"2017","Pebp1",1.08270270034283e-06,2.49304760535081,42.1241794204407,8.5657500271019e-11,2.77725174227797e-08
"6439","Usmg5",1.08268893790192e-06,2.49303732430723,42.1231085302588,8.57044203758053e-11,2.77725174227797e-08
