"","gene","distance","Z","FC","p.value","p.adj"
"5980","Trem2",1.08677518948747e-05,8.38846178335232,44396.1852794255,0,0
"3103","Gm49339",4.5542015933353e-07,3.18144080276517,77.9633921312087,1.04968009329901e-18,3.40726158284859e-15
"3778","Lgals3",4.39289958091265e-07,3.13693381705349,72.5385343266479,1.63802126119994e-17,3.54467800923668e-14
"3449","Lpl",4.30260800061088e-07,3.11142494729099,69.5872679012558,7.31072924457985e-17,1.18653135639531e-13
"3249","Igf1",4.26652677702502e-07,3.10110704655644,68.4250583094504,1.31792155809337e-16,1.71118935102844e-13
"2605","Apoe",4.17221874982579e-07,3.07379234667375,65.4335323506758,6.01074053698902e-16,6.50362126102212e-13
"1958","Spp1",4.00721607827647e-07,3.02474474654744,60.3603497161347,7.89881449946957e-15,7.32558624722235e-12
"1101","Anxa5",3.63908313609617e-07,2.90896501732665,49.7794598126183,1.72035575889113e-12,1.39606869834015e-09
"3288","Lyz2",3.33992314183354e-07,2.80748334763729,41.9313814624869,9.45332313175064e-11,6.81899708570279e-08
"896","Cybb",3.26245895152558e-07,2.77997964702572,40.008874749629,2.52811636457361e-10,1.64125314388119e-07
"2344","Capg",3.2104051339195e-07,2.76119190001847,38.7423452816033,4.83603008463021e-10,2.85413702812903e-07
"1665","Cd52",3.17279705130943e-07,2.74746011384231,37.8399724363428,7.67920851703875e-10,4.15445180771796e-07
"1449","Cd72",3.08165063420914e-07,2.71361089407925,35.6971075387792,2.3050599988511e-09,1.15111150096472e-06
"3343","Cd63",3.07147780437641e-07,2.70978164367493,35.4618172594808,2.60099569642299e-09,1.20611886151272e-06
"6343","Fth1",3.05515971353113e-07,2.70361715948022,35.0860164099173,3.1545799292798e-09,1.3653021933923e-06
"4689","Vat1",3.02283704639588e-07,2.69132552731187,34.3475446722442,4.60981561513281e-09,1.87043268584014e-06
"1129","P2ry12",2.878402440616e-07,2.63503018178819,31.143631595305,2.39624216083036e-08,9.15082594594745e-06
"1072","Fabp5",2.82720686172484e-07,2.61451258963165,30.0456357100956,4.21997205727617e-08,1.52200325532427e-05
"2629","Axl",2.79298687605466e-07,2.60062569995672,29.3227038997357,6.12735611409112e-08,2.09362083645682e-05
"4945","Cxcl14",2.77735778250553e-07,2.59423620492674,28.9954520703148,7.25484227756401e-08,2.34707334044829e-05
"4484","Cxcl16",2.77313791508144e-07,2.59250592155581,28.9074086709916,7.59219657261462e-08,2.34707334044829e-05
"1995","Tmem119",2.70184759834792e-07,2.56293914138381,27.4402410177325,1.62024421334822e-07,4.7811933786621e-05
"3280","Glipr1",2.63785845176586e-07,2.53584386570919,26.1558717868464,3.14937968410831e-07,8.88946648227442e-05
