"","gene","distance","Z","FC","p.value","p.adj"
"3473","Lpl",0.000385337849960924,7.68738401985131,1542360.06494676,0,0
"2619","Apoe",0.000301759634768323,7.38989137289024,945855.346360764,0,0
"6013","Trem2",0.000122515070212421,6.34799278464074,155912.687873567,0,0
"1971","Spp1",3.97121848539288e-06,3.07469290442974,163.813615236601,1.66141691129024e-37,2.70935562808655e-34
"3274","Igf1",3.79949515010546e-06,3.03875168301093,149.952676249436,1.77543013916675e-34,2.23093082133773e-31
"3802","Lgals3",3.79584844758114e-06,3.0379725298908,149.664969404099,2.05205962410339e-34,2.23093082133773e-31
"408","Vim",3.6249363010705e-06,3.00066899270294,136.490740802235,1.5583862290043e-31,1.45219333882786e-28
"494","Ass1",3.56796970746473e-06,2.98787919648031,132.234491397827,1.32949999033607e-30,1.08404105462027e-27
"1460","Cd72",3.55784329666876e-06,2.98558624650644,131.484955573561,1.93938605236457e-30,1.40562391328601e-27
"3125","Gm49339",3.50804627701085e-06,2.97422344169711,127.830079724091,1.22275933540236e-29,7.97605914482959e-27
"756","Cst7",3.37230738132864e-06,2.94248802381298,118.129057358382,1.62465484085149e-27,9.63420320624933e-25
"4718","Vat1",3.28441194440322e-06,2.92131236739946,112.051500826416,3.48148091530508e-26,1.89247500087792e-23
"4976","Cxcl14",3.25128828221755e-06,2.91319826525689,109.802793664178,1.082407272312e-25,5.43118664407014e-23
"1113","Anxa5",3.17241479623506e-06,2.89357011909067,104.539968696065,1.54054263833891e-24,7.17782830706051e-22
"2355","Capg",3.12198004776239e-06,2.88078505041852,101.242457536904,8.13860276244321e-24,3.53920705462781e-21
"4001","Aplp2",3.08954393944061e-06,2.8724629188847,99.1496497577868,2.34124413922865e-23,9.54495970011781e-21
"2993","Itgax",2.95486696067455e-06,2.83703583764461,90.6939456448792,1.67705616169896e-21,6.43496314280135e-19
"2643","Axl",2.7368614390582e-06,2.77644746727792,77.805097890982,1.13726268046683e-18,4.12131359149174e-16
"1083","Fabp5",2.72386667717681e-06,2.77269878417373,77.0680065454729,1.65171408194739e-18,5.67059524028571e-16
"909","Cybb",2.6584111560738e-06,2.75356535309831,73.4085648746725,1.05407704625489e-17,3.40466078161433e-15
"3367","Cd63",2.65701400178617e-06,2.75315229472605,73.3314239558153,1.09608886116666e-17,3.40466078161433e-15
"4126","Anxa2",2.573975998852e-06,2.7282406001623,68.8194849727992,1.07901319926245e-16,3.19927413581318e-14
"4510","Cxcl16",2.54685907610204e-06,2.71994688733314,67.3770919100654,2.24239380225475e-16,6.3596238139599e-14
"1678","Cd52",2.50751962482628e-06,2.70777093584199,65.3117188473104,6.39399875814512e-16,1.73783557914086e-13
"3983","AB124611",2.49201249095168e-06,2.70292350893787,64.5064084043276,9.62188931914159e-16,2.51054336115042e-13
"213","Rab7b",2.368153857884e-06,2.66318984590726,58.253531933861,2.3042292453919e-14,5.78095667988129e-12
"2956","Bola2",2.34825024458092e-06,2.65662914696261,57.278440444222,3.78279239267469e-14,9.13894621385814e-12
"3199","Cstb",2.14569302403519e-06,2.58681997722093,47.8230874511085,4.66466461409008e-12,1.0867002599182e-09
"2217","Flt1",2.13441148873825e-06,2.58275794126013,47.3215250040694,6.02469839574375e-12,1.35514164260126e-09
"5320","Ank",2.07360067477005e-06,2.5605200025109,44.6634928194617,2.33979585106085e-11,5.08749611215665e-09
"1877","Lrpap1",2.06736100181566e-06,2.55820475790463,44.3951033507467,2.68357484540795e-11,5.64676087632131e-09
"2694","Fxyd5",2.06259351149531e-06,2.55643148099224,44.1905825329864,2.97911072531354e-11,6.07273101913133e-09
"2359","Tmsb10",2.03202995174826e-06,2.54497390725773,42.8906514208262,5.7886620051624e-11,1.14422552302043e-08
"5282","Adssl1",2.0060105357908e-06,2.53509558150138,41.7992848543162,1.01140404837509e-10,1.94040841398551e-08
"1689","Clic4",1.9802893931794e-06,2.52521523441193,40.7342528429994,1.74403193769929e-10,3.25037723703214e-08
"6374","Fth1",1.91008389038314e-06,2.49764029971718,37.8972167542029,7.45715499818651e-10,1.35119505703252e-07
"4855","Slc16a3",1.90545520606393e-06,2.49579002787536,37.713767520226,8.19243172142592e-10,1.44430357078003e-07
"3313","Lyz2",1.85449891222332e-06,2.47514583460592,35.7236312679865,2.27388957851464e-09,3.90331097911868e-07
"4607","Ccl6",1.80093304828481e-06,2.45288031179076,33.689732886655,6.46409625424404e-09,1.08116153503677e-06
"862","Zbp1",1.79235795251376e-06,2.44926010864794,33.3696711178056,7.62031214983508e-09,1.24268240383436e-06
"2652","Pld3",1.71459961520017e-06,2.41569311679899,30.5371059587458,3.27541531947186e-08,5.16755894424665e-06
"1867","Gm1673",1.71290167933883e-06,2.41494480749871,30.4766552578539,3.37908343873792e-08,5.16755894424665e-06
"3178","Mif",1.71221164418576e-06,2.41464050433629,30.4521054219656,3.42211719551394e-08,5.16755894424665e-06
"2477","Usp18",1.71008927384279e-06,2.41370384627968,30.376658453456,3.55783623178343e-08,5.16755894424665e-06
"2691","Cd22",1.70998056705096e-06,2.41365584263205,30.3727966151507,3.56492645241606e-08,5.16755894424665e-06
"3036","Irf7",1.70541751231375e-06,2.41163834224619,30.2109142874323,3.87522553703443e-08,5.49523829958166e-06
"5256","Ifi27l2a",1.67135078216429e-06,2.39641899611228,29.0160071810324,7.17826923936109e-08,9.96252132943668e-06
"1794","Isg15",1.62114147365757e-06,2.37346523477341,27.2988445272353,1.74315546441064e-07,2.36887564465638e-05
"3877","Ctsb",1.58678171031086e-06,2.35738147146019,26.1539207982792,3.15256332988297e-07,4.19676951037278e-05
"2510","Cd9",1.58518539492781e-06,2.35662655989788,26.1013251508091,3.23961602217481e-07,4.22640306252926e-05
"182","Pdcd1",1.53785148901309e-06,2.33392153926172,24.5658178391615,7.1814398161427e-07,9.18520233739193e-05
"3032","Ifitm3",1.50739651342891e-06,2.31897436644833,23.6024694959244,1.18435423639532e-06,0.000148568128538589
"3867","Phf11b",1.49863087070272e-06,2.31462129691124,23.3287667652681,1.36542508292255e-06,0.000168050336149128
"2166","Fam20c",1.49681306348422e-06,2.31371566361236,23.2722064982415,1.40617422134499e-06,0.000169860637885804
"3517","Tpm4",1.49161856143874e-06,2.31112223089297,23.1109602281432,1.52916558530312e-06,0.00018135903841695
"2290","Parp12",1.47960592898778e-06,2.30509312580339,22.7402145581792,1.85446050252216e-06,0.000216011533177715
"338","Ifi204",1.47705534911799e-06,2.30380726700821,22.661881887527,1.9316201830575e-06,0.00022105190270323
"4157","Bcl2a1d",1.43140863548212e-06,2.28044636584541,21.2828457779483,3.96261756582621e-06,0.00044565783417042
"2727","Il4i1",1.42009911108626e-06,2.27455371446431,20.9478638871058,4.7195378754291e-06,0.000521788907820747
"1289","Rhoc",1.4147373731697e-06,2.27174512938989,20.7899806481313,5.1250385073861e-06,0.000557177103061326
"334","Slamf8",1.39893391645025e-06,2.26341025510317,20.3281020035598,6.52353937052913e-06,0.000697590939573139
"3305","Glipr1",1.34230444410927e-06,2.23282265881483,18.7156316156143,1.51733514255254e-05,0.00157188079251132
"6431","Ifit3",1.34226803059791e-06,2.23280261565903,18.7146162086791,1.51814333785395e-05,0.00157188079251132
"5292","Crip1",1.33851321681586e-06,2.23073318606695,18.6100594257056,1.60372077352099e-05,0.00163211380342002
"4091","Pkm",1.33755189410797e-06,2.23020251301875,18.5833374657241,1.62635899466965e-05,0.00163211380342002
"1140","P2ry12",1.3017776120766e-06,2.21020324508835,17.6025679207273,2.72220515126999e-05,0.00269044609117184
"1519","Plin2",1.27802154419743e-06,2.19664447132405,16.965973414909,3.80557746687691e-05,0.00370504206215494
"6216","Cd74",1.27275095415423e-06,2.19360522138499,16.8263258409323,4.09611142552155e-05,0.00392925512186428
"2618","Apoc1",1.23995349187448e-06,2.17443132761388,15.9703055058375,6.43438669110507e-05,0.00608282672262006
"6388","Ms4a6c",1.22138194846813e-06,2.16336849750207,15.4954939994203,8.27021667746552e-05,0.00770666048387251
"4490","Cd68",1.20481208822716e-06,2.15336807304996,15.0779071548023,0.00010316364462602,0.00947797822388065
"4640","Nme2",1.1988232528353e-06,2.1497228145031,14.9283822999974,0.000111670259905841,0.0101170153523027
"2762","Emp3",1.19307164234093e-06,2.14620631720645,14.7854817199765,0.00012045934687436,0.0107637852008418
"621","Hsd17b12",1.18353737348169e-06,2.14034300498205,14.5501136386743,0.000136480420901055,0.0120305646694268
"1760","Slc2a5",1.18089507338871e-06,2.1387104577553,14.4852186019236,0.000141263680489583,0.012286173171114
"2008","Tmem119",1.16573083167386e-06,2.12927644004273,14.1155887900936,0.000171913157997029,0.014755125389666
"5471","Tspo",1.16440341514417e-06,2.12844531766178,14.0834602792494,0.000174874789217994,0.0148143928580386
"2202","Arpc1b",1.14940963013836e-06,2.11899705543266,13.7230957997846,0.000211833421129226,0.0177152487952043
"5241","Calm1",1.14476953846638e-06,2.11605039583783,13.6125209584281,0.000224681978376933,0.0185519056323131
"4195","Alas1",1.14361700924844e-06,2.11531680499678,13.5851251726023,0.000227984914748493,0.0185893199863053
"3131","Pkib",1.13480569708391e-06,2.10968602251285,13.3765909584111,0.00025478441053448,0.0205180087644002
"2337","Gng12",1.12681985524507e-06,2.10454827639704,13.1889862045576,0.00028159919250321,0.022400872349981
"4598","Ccl12",1.1238957812516e-06,2.10265876369677,13.1206247305289,0.000292062627454817,0.0229533074564792
"4684","Mien1",1.11917589905914e-06,2.09959935617163,13.0106540928761,0.000309723736408662,0.0240515230070678
"1949","Cxcl10",1.10734729035678e-06,2.09188021405938,12.7370873370953,0.000358475522331923,0.0275098333196604
"870","Ctsz",1.10596721750266e-06,2.09097472089913,12.7053589806151,0.000364609187304678,0.0276551828928886
"1473","Anp32b",1.10134666658464e-06,2.08793558416582,12.5994189027789,0.000385866701871828,0.0289311321414935
"729","Slc23a2",1.07711004596845e-06,2.07180151758465,12.0509860890206,0.000517649895370234,0.0383707984943186
"3051","Ctsd",1.06988804747542e-06,2.06693001230165,11.8899246836021,0.000564384036261247,0.0409640103510139
"2504","Gapdh",1.06956269505762e-06,2.06670984643534,11.8826943428935,0.000566579196746522,0.0409640103510139
"2684","Hcst",1.06884142487235e-06,2.06622154578096,11.8666733216965,0.000571474006123297,0.0409640103510139
"1669","Fgr",1.06718541920733e-06,2.06509929281687,11.829930631023,0.000582861657152173,0.0413261585826481
"4422","Atox1",1.05199187240476e-06,2.05472821103377,11.4954824088358,0.000697655488403301,0.0489334059231692
"1142","Rap2b",1.04792825303421e-06,2.05193129602125,11.4068447595486,0.000731740031056223,0.0507780874742526
"1093","Nceh1",1.04559066085027e-06,2.05031789949297,11.3560114872495,0.000752041527572588,0.0516375461511157
"4963","Prelid1",1.04194275433235e-06,2.04779356018794,11.2769109253423,0.000784770318168074,0.0529645944810551
"5215","Npc2",1.04163318076183e-06,2.04757896628253,11.2702109124071,0.000787607797740662,0.0529645944810551
"6170","Cd14",1.04052491205979e-06,2.04681024729743,11.2462412894735,0.000797844184146891,0.0530824665817731
"5806","Rps2",1.03969011236822e-06,2.04623072020158,11.2282031001489,0.000805636086401278,0.0530824665817731
"2015","Oasl2",1.0329079855347e-06,2.04150673739494,11.0821928198319,0.000871606689835189,0.0568549043779494
"337","Ifi207",1.02979702338362e-06,2.03933039694059,11.0155375819417,0.000903513188485942,0.0583526388959782
"1139","P2ry13",1.0253210028039e-06,2.03618858148912,10.9199874534442,0.000951322535831821,0.0608380088355977
"731","Pcna",1.02293580474685e-06,2.03450925887763,10.8692403467871,0.000977746268306971,0.0619207660987027
"2042","Oas1a",1.02196905010061e-06,2.03382759067839,10.8487054839584,0.000988648459559296,0.0620091721317816
"5979","Pla2g7",1.01383826166824e-06,2.02807115856221,10.6767675267322,0.00108489474582031,0.0671265691053639
"868","Gnas",1.01335982608951e-06,2.02773112884947,10.6666930595051,0.00109081961140098,0.0671265691053639
"6443","Pgam1",1.00689489712567e-06,2.02312204874327,10.5310266534601,0.00117386983987534,0.0715621772477275
"557","Ifih1",9.97708745027101e-07,2.01652638038636,10.3397488485621,0.00130195725859605,0.0786358073872411
"4165","Chst2",9.90946661360194e-07,2.01163579337148,10.2000661851593,0.00140435613401305,0.0837889743347962
"6510","Csf2ra",9.90398922292915e-07,2.01123832008465,10.188793266293,0.00141296752672506,0.0837889743347962
"3868","Phf11d",9.87284419691592e-07,2.00897443530831,10.1248127285956,0.00146286521122813,0.0859663943499195
"2332","Herc6",9.80877820168798e-07,2.00429707029416,9.99383697539503,0.00157064994394108,0.0914763355743539
"3153","Srgn",9.79354045972458e-07,2.00318049368452,9.96281063934698,0.00159734013214075,0.0922075193093287
"4161","Tmed3",9.68668266631626e-07,1.99530556048033,9.74658730463426,0.00179655933053142,0.102797864149618
"2683","Tyrobp",9.63275475405095e-07,1.9913012600301,9.63836656060845,0.00190554619921381,0.108085894412797
"3512","Bst2",9.61353699021487e-07,1.98986935557177,9.59994700395007,0.00194582985163022,0.109419380363655
"1025","Pgk1",9.59590953173692e-07,1.98855365183285,9.56477420056766,0.00198346594836117,0.110582464796238
"2623","Plaur",9.58143592825324e-07,1.98747170488256,9.53594267688849,0.00201486658917687,0.111381142044074
"2527","H2afj",9.52668049984909e-07,1.98336506561854,9.42726321179437,0.00213783094572214,0.117185472764248
"225","Cyb5r1",9.46653122803709e-07,1.97882906131817,9.30859586954123,0.00228081213394971,0.12398114624795
"1982","Atp5k",9.44366412474131e-07,1.97709771412614,9.26367898754701,0.00233743011806252,0.12600873272828
"1027","Sh3bgrl",9.37857986755322e-07,1.97214899842609,9.13643133372446,0.00250569357492285,0.13397245237067
"1568","Akr1a1",9.06731394407655e-07,1.94804084754851,8.54003671755578,0.00347418624452606,0.18424485262637
"4158","Bcl2a1a",9.04945878421429e-07,1.94663520520777,8.5064361192028,0.00353892495645055,0.186164576539734
"3357","Myl6",9.00189938764841e-07,1.94287875531925,8.41725998302649,0.00371675499949789,0.193955142893798
"4641","Nme1",8.92277889215938e-07,1.93658927427881,8.2699463975336,0.00403066963562037,0.208667127247236
"363","Degs1",8.88209001818935e-07,1.93333503198672,8.1946945990281,0.00420130659648782,0.215788369518819
